Наименование,Област,Община,Населено място,Адрес,Управител,Телефон,lat,lng,provider,display_name,quality_score
АДЖИБАДЕМ СИТИ КЛИНИК УМБАЛ ТОКУДА СОФИЯ ЕАД,София (столица),СОФИЯ 09 рн ЛОЗЕНЕЦ,СОФИЯ 09 рн ЛОЗЕНЕЦ,бул. Н. Й. Вапцаров 51Б,"РОСЕН ЕМИЛ ПАНОВ, ЯВОР НИКОЛАЕВ ДРЕНСКИ, ИЛИАН ГЕОРГИЕВ ГРИГОРОВ, Д-Р ВЕНЕЛИНА ФИЛИПОВА АТАНАСОВА","02/4034359,02/4034225",,,,,0
АИСМП МЦ ПОЛИМЕД АД,София (столица),СОФИЯ 03 рн ВЪЗРАЖДАНЕ,СОФИЯ 03 рн ВЪЗРАЖДАНЕ,ул. Брегалница 47,ЦВЕТАН ДИМОВ ДИМАНОВ,8157931,,,,,0
АИСМП-МЦ за очно здраве ВИСТА ООД,Пловдив,ПЛОВДИВ,Пловдив,ул. Александър Стамболийски 31,Д-Р АНТОН ТЕНЕВ АНГЕЛОВ,0889/453545,42.1092272,24.8526048,nominatim_free,"Александър Стамболийски, Катунско Конаре, Ягодово, Родопи, Пловдив, 4113, България",55
АМЦСМП ОМЦ Свети Николай Чудотворец ООД,Варна,ВАРНА,Варна,ул. Ген. Стефан Тошев 36А,Д-Р ПЛАМЕН СТЕФАНОВ ХУБАНОВ,052630670,43.2164849,27.9224298,nominatim_free,"Ген. Стефан Тошев, кв. Левски, Варна, Приморски, Варна, 9002, България",55
АМЦСМП ОМЦ Свети Николай Чудотворец ООД,Добрич,ДОБРИЧ-ГРАД,Добрич,ул. Хан Кардам 2,Д-Р ПЛАМЕН СТЕФАНОВ ХУБАНОВ,052630670,43.5680655,27.8211819,nominatim_free,"Хан Кардам, ЦГЧ, Добрич, 9300, България",45
АМЦСМП Очна клиника Света Петка АД,Варна,ВАРНА,Варна,ул. Проф. д-р Георги Георгиев 4,Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131",43.2262847,27.9333361,nominatim_free,"Очна клиника ""Св. Петка"", 4, Проф. д-р Георги Георгиев, м-т Сотира, Варна, Приморски, Варна, 9000, България",100
АМЦСМП Очна клиника Света Петка АД,Варна,ВАРНА,Варна,ул. Иван Драсов 12,Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131",43.20975,27.9161888,nominatim_free,"12, Иван Драсов, Гръцката махала, Център, Варна, Одесос, Варна, 9000, България",100
АМЦСМП Очна клиника Света Петка АД,Шумен,ШУМЕН,Шумен,ул. Цар Иван Александър 110А,Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131",43.2732881,26.9370043,nominatim_free,"Цар Иван Александър, ж.к. Херсон, Шумен, 9704, България",55
АМЦСМП Очна клиника д р Хубанов ЕООД,Бургас,БУРГАС,Бургас,бул. Даме Груев 2,Д-Р ПЛАМЕН СТЕФАНОВ ХУБАНОВ,"056/711112,0889/787112",42.5114202,27.4595817,nominatim_free,"бул. Даме Груев, ж.к. Братя Миладинови, Бургас, 8005, България",55
АМЦСМП СВЕТА ПЕТКА ООД,Варна,ВАРНА,Варна,ул. Иван Драсов 12,ДОЦ. Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131",43.20975,27.9161888,nominatim_free,"12, Иван Драсов, Гръцката махала, Център, Варна, Одесос, Варна, 9000, България",100
АМЦСМП СВЕТА ПЕТКА ООД,Варна,ВАРНА,Варна,ул. Проф. д-р Георги Георгиев 4,ДОЦ. Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131",43.2262847,27.9333361,nominatim_free,"Очна клиника ""Св. Петка"", 4, Проф. д-р Георги Георгиев, м-т Сотира, Варна, Приморски, Варна, 9000, България",100
АМЦСМП СВЕТА ПЕТКА ООД,Варна,ВАРНА,Варна,бул. Сливница 40,ДОЦ. Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131",43.2082043,27.9159574,nominatim_free,"40, бул. Сливница, 4-ти микрорайон, Варна, Одесос, Варна, 9000, България",90
АМЦСМП Света Петка Ай Кеър ЕООД,Варна,ВАРНА,Варна,ул. Иван Драсов 10А,ДОЦ. Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131",43.2097098,27.9159466,nominatim_free,"10a, Иван Драсов, Гръцката махала, Център, Варна, Одесос, Варна, 9000, България",80
АМЦСМП Света Петка Ай Кеър ЕООД,Варна,ВАРНА,Варна,ул. Иван Драсов 12,ДОЦ. Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131",43.20975,27.9161888,nominatim_free,"12, Иван Драсов, Гръцката махала, Център, Варна, Одесос, Варна, 9000, България",100
АМЦСМП Света Петка Ай Кеър ЕООД,Варна,ВАРНА,Варна,ул. Проф. д-р Георги Георгиев 4,ДОЦ. Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131",43.2262847,27.9333361,nominatim_free,"Очна клиника ""Св. Петка"", 4, Проф. д-р Георги Георгиев, м-т Сотира, Варна, Приморски, Варна, 9000, България",100
АСИП-МЦ-ЕВРОХОСПИТАЛ ПЛОВДИВ ЕООД,Пловдив,ПЛОВДИВ,Пловдив,ул. Коматевско шосе 79,Д-Р ТАНКА ДЕЯНОВА ТУХЧИЕВА,"0889474781,032/6207015",42.0928886,24.6942784,nominatim_free,"Коматевско шосе, Коматево, Южен, Пловдив, 4016, България",55
АСИП-МЦ-ЕВРОХОСПИТАЛ ПЛОВДИВ ЕООД,Пловдив,ПЛОВДИВ,Пловдив,ул. Колхида-продължение 2 и манипулационна,Д-Р ТАНКА ДЕЯНОВА ТУХЧИЕВА,"0889474781,032/6207015",,,,,0
АСМП-МЦ-ОКУЛУС-КУШИНОВА ЕООД,Плевен,ПЛЕВЕН,Плевен,ул. Васил Левски 124,"Д-Р ЙОРДАНКА ГЕОРГИЕВА МАТЕЕВА, Д-Р РУМЕН ДИМИТРОВ МИНКОВ",064/837711,43.6494058,24.6916795,nominatim_free,"124, Васил Левски, Гулянци, Плевен, България",100
АСМП-МЦ-ОКУЛУС-КУШИНОВА ЕООД,Плевен,ПЛЕВЕН,Плевен,ул. П. Евтимий 5,"Д-Р ЙОРДАНКА ГЕОРГИЕВА МАТЕЕВА, Д-Р РУМЕН ДИМИТРОВ МИНКОВ",064/837711,,,,,0
Аджибадем Сити Клиник МЦ Варна ЕООД,Варна,ВАРНА,Варна,ул. Алеко Константинов 3-5,"Д-Р КАЛИН ЦОНЕВ ЦОНЕВ, ВЕНЕЛИНА ФИЛИПОВА АТАНАСОВА, МЕХМЕТ ОРКУН САРЪБЪЙЪК","070033900,052953251,0892202080",43.2109401,27.9070448,nominatim_free,"Хирургическа Болница Проф. Темелков, 3-5, Алеко Константинов, Колхозен пазар, Варна, Одесос, Варна, 9000, България",100
Аджибадем Сити Клиник МЦ Варна ЕООД,Варна,ВАРНА,Варна,ул. Брегалница 1,"Д-Р КАЛИН ЦОНЕВ ЦОНЕВ, ВЕНЕЛИНА ФИЛИПОВА АТАНАСОВА, МЕХМЕТ ОРКУН САРЪБЪЙЪК","070033900,052953251,0892202080",43.2174275,27.9160642,nominatim_free,"Аджибадем Сити Клиник, 1, Брегалница, Цветен квартал, Варна, Приморски, Варна, 9002, България",90
БПЛР - филиал гр. Варна при МИ НА МВР,Варна,ВАРНА,Варна,к.к. Свети Константин и Елена,"ПРОФ. Д-Р НЕНЧО ПЕТРОВ СМИЛОВ, ПРОФ. Д-Р ИЛИЯ АТАНАСОВ БАТАШКИ","052664810,0887232371,052/652496,052/501979",,,,,0
БПЛР ВМА-БАНКЯ СОФИЯ,София (столица),СОФИЯ 24 рн БАНКЯ,СОФИЯ 24 рн БАНКЯ,ул. Иван Вазов 5,"Д-Р ГЕОРГИ ДАВИДОВ ДАВИДОВ, Д-Р ИВАН ЛАЛЕВ ДЯНКОВ","02/9977194,02/9777149",,,,,0
БПЛР МИ МВР – ФИЛИАЛ БАНКЯ СОФИЯ,София (столица),СОФИЯ 24 рн БАНКЯ,СОФИЯ 24 рн БАНКЯ,ул. Хисар 2,"ПРОФ. Д-Р ДАНИЕЛА ВАЛЕНТИНОВА МОНОВА, ДОЦ. Д-Р ИЛИЯ АТАНАСОВ БАТАШКИ",02/9821506,,,,,0
БПЛР МИ-МВР филиал Хисар,Пловдив,ХИСАРЯ,Хисаря,Бул. Иван Вазов 2,"ПРОФ. Д-Р НЕНЧО ПЕТРОВ СМИЛОВ, Д-Р ТОДОР ВАСИЛЕВ ТОДОРОВ, ИЛИЯ АТАНАСОВ БАТАШКИ","0337/62146,0337/62051",42.4903728,24.7091577,nominatim_free,"бул. Иван Вазов, ж.к. Орфей, Хисаря, Пловдив, 4180, България",55
ВМА- Болница за продължително лечение и рехабилитация- Хисаря,Пловдив,ХИСАРЯ,Хисаря,ул. Илин Паунов 1,"Д-Р АЛЕКСАНДЪР ТОНЕВ АЛЕКСАНДРОВ, Д-Р БОЖКО ИВАНОВ БОЖКОВ","0337/60201,0337/62089",42.5007957,24.7157376,nominatim_free,"Илин Паунов, ж.к. Орфей, Хисаря, Пловдив, 4180, България",95
ВМА-МБАЛ-ПЛЕВЕН,Плевен,ПЛЕВЕН,Плевен,ул. Г. Кочев 6,"Д-Р РОСЕН ИВАНОВ АНТИНОВ, ДИМИТЪР СТОЙЧЕВ РАДАНОВ, БОЯН МИЛЧЕВ КУЧЕВ, Д-Р НИКОЛАЙ ВЪЛОВ ТРИФОНОВ","064822875,064/890604,0888/155507,064890608",,,,,0
ВОЕННОМЕДИЦИНСКА АКАДЕМИЯ,София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,ул. Св. Георги Софийски 3,"ГЕНЕРАЛ-МАЙОР ПРОФ. ВЕНЦИСЛАВ МЕТОДИЕВ МУТАФЧИЙСКИ, ГЕН.МАЙОР ПРОФ. СТОЯН ДИМИТРОВ ТОНЕВ, ПОЛК.ДОЦ. КРУМ СОТИРОВ КАЦАРОВ, ГЕНЕРАЛ МАЙОР ЧЛ. КОР. ПРОФ. НИКОЛАЙ ПЕТРОВ",9226000,,,,,0
ВТОРА САГБАЛ ШЕЙНОВО ЕАД,София (столица),СОФИЯ 01 рн СРЕДЕЦ,СОФИЯ 01 рн СРЕДЕЦ,ул. Шейново 19,"Д-Р РУМЕН ЛЮБЕНОВ ВЕЛЕВ, ИВАН АТАНАСОВ КОСТОВ, Д-Р ТАНЯ ЛЮБОМИРОВА АНДРЕЕВА-РАЙНОВА","02/9659430,9441163",,,,,0
ДИАГНОСТИЧНО-КОНСУЛТАТИВЕН ЦЕНТЪР 1 ЯМБОЛ ЕООД,Ямбол,ЯМБОЛ,Ямбол,ул. Христо Смирненски 2,"АНТОН СТОЯНОВ ИВАНОВ, ВЕНЦИСЛАВ ИВАНОВ СЛАВОВ, ЕЛЕОНОРА МИТЕВА КОСТАДИНОВА","046600020,046669027,0893303480",42.1511409,26.8119231,nominatim_free,"Христо Смирненски, Болярово, Ямбол, 8720, България",95
ДИАГНОСТИЧНО-КОНСУЛТАТИВЕН ЦЕНТЪР 1 ЯМБОЛ ЕООД,Ямбол,ЯМБОЛ,Ямбол,ул. Ивайло 1,"АНТОН СТОЯНОВ ИВАНОВ, ВЕНЦИСЛАВ ИВАНОВ СЛАВОВ, ЕЛЕОНОРА МИТЕВА КОСТАДИНОВА","046600020,046669027,0893303480",42.4799688,26.5001796,nominatim_free,"Д-р Димитър Брънков, 1, Ивайло, кв. Каргон, Ямбол, 8601, България",90
ДИАГНОСТИЧНО-КОНСУЛТАТИВЕН ЦЕНТЪР 1 ЯМБОЛ ЕООД,Ямбол,ЯМБОЛ,Ямбол,ул. Българка 2,"АНТОН СТОЯНОВ ИВАНОВ, ВЕНЦИСЛАВ ИВАНОВ СЛАВОВ, ЕЛЕОНОРА МИТЕВА КОСТАДИНОВА","046600020,046669027,0893303480",42.4838631,26.4963944,nominatim_free,"СХБАЛ Св. Йоан Рилски, 2, Българка, ж.к. Златен рог, Ямбол, 8600, България",90
ДИАЛИЗЕН ЦЕНТЪР ДИАЛИЗА ЕТРОПАЛ БЕТА ЕООД,Бургас,НЕСЕБЪР,Несебър,ул. Иван Вазов 11 Общинска здравна къща - Несебър,"Д-Р ЗЛАТИНА ГЕОРГИЕВА МИРИНЧЕВА, Д-Р ХРИСТО ДИМИТРОВ ХРИСТОВ, ТЕМЕНУГА СТОЯНОВА ТИХОЛОВА, АЛБЕНА ТОТЕВА СТОЯНОВА","0554/44230,0899/992802",42.6546965,27.7099059,nominatim_structured,"Иван Вазов, ж.к. Перла, Несебър, Бургас, 8230, България",55
ДИАЛИЗЕН ЦЕНТЪР ОМЕГА ЕООД,Видин,ВИДИН,Видин,ул. Найчо Цанов 12,Д-Р ВАЛЕРИ ХРИСТОВ ХРИСТОВ,0888765454,43.9875264,22.871351,nominatim_free,"Найчо Цанов, ж.к. Христо Ботев, Видин, 3700, България",55
ДИАЛИЗЕН ЦЕНТЪР ВИРТУС МЕДИКАЛ ЕООД,Варна,ВАРНА,Варна,ул. Херман Шкорпил 6,ПРОФ. Д-Р ВАЛЕНТИН ХРИСТОФОРОВ ИКОНОМОВ,052600002,,,,,0
ДИАЛИЗЕН ЦЕНТЪР ХЕМОМЕД ЕООД СОФИЯ,София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,бул. България 104,Д-Р ПАВЛИНА СЛАВЧЕВА ПАУНОВА,0888806167,,,,,0
ДКЦ ІІ-ПЛЕВЕН ЕООД,Плевен,ПЛЕВЕН,Плевен,ул. Сан Стефано 1,Д-Р МАРИАНА ПЕТРОВА ЛАЗАРОВА-ИВАНОВА,"064/807001,064888222",43.4069781,24.6199211,nominatim_free,"Сан Стефано, 9-ти квартал, Централна градска част, Плевен, 5801, България",85
ДКЦ ІІ-ПЛЕВЕН ЕООД,Плевен,ПЛЕВЕН,Плевен,жк Дружба бл 112 ет 1,Д-Р МАРИАНА ПЕТРОВА ЛАЗАРОВА-ИВАНОВА,"064/807001,064888222",43.4013341,24.6347907,nominatim_free,"ж.к. Дружба 1, ж.к. Дружба, Плевен, 5703, България",80
ДКЦ НЕОКЛИНИК ЕАД,София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,бул. Петко Ю. Тодоров 20,"ВАЛЕНТИН ДИМИТРОВ ДИМИТРОВ, АТАНАС ИВАНОВ ТУМАНОВ, ЙОРДАНКА СТАНИМИРОВА ЯНАКИЕВА",070010744,,,,,0
ДКЦ СВЕТИ ПАНТАЛЕЙМОН ООД,Плевен,ПЛЕВЕН,Плевен,ул. Хан Крум 2,"Д-Р ЕЛИЗА ЛЮБЕНОВА ГЕОРГИЕВА, Д-Р ЙОРДАН ГЕОРГИЕВ ГЕОРГИЕВ",064/872020,43.6424128,24.6905661,nominatim_free,"2, Хан Крум, Гулянци, Плевен, България",90
ДКЦ СВЕТИ ПАНТАЛЕЙМОН ООД,Плевен,ПЛЕВЕН,Плевен,жк Дружба ул. Трите бора 24,"Д-Р ЕЛИЗА ЛЮБЕНОВА ГЕОРГИЕВА, Д-Р ЙОРДАН ГЕОРГИЕВ ГЕОРГИЕВ",064/872020,,,,,0
ДКЦ ХІV СОФИЯ ЕООД,София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,ул. Стефан Сарафов 7,"МИЛЕН ПЕТКОВ ДИМОВ, МАРИАНА МЕТОДИЕВА ВАСИЛЕВА-МАКСИМОВА, РАЙКО СТЕФАНОВ ЦВЕТКОВ","02/9521363,02/9521546",,,,,0
ДКЦ ХХХ СОФИЯ ЕООД,София (столица),СОФИЯ 20 рн ВРЪБНИЦА,"София, Кв.Обеля","Р-Н ВРЪБНИЦА, Ж.К. ОБЕЛЯ 2","ЦВЕТАН ИВАНОВ НЕДЯЛКОВ, РОСЕН АЛЕКСАНДРОВ ФИДАНОВ, СЛАВИ ЕВСТАТИЕВ СЛАВЧЕВ, НЕЛИ ГЕОРГИЕВА ГЕОРГИЕВА-ТАИНОВА, ВЕЛИЗАР ДИМИТРОВ ДИЛОВ, ГАНЧО ВИТАНОВ ПЕНЕВ","934 0062,834 1615",,,,,0
ДЦ - П,Перник,ПЕРНИК,Перник,ул. Златоград 1,ДОЦ. Д-Р АЛЕКСАНДЪР ИВАНОВ ОСИЧЕНКО,"0884933100,076/593924",,,,,0
ДЦ ФЪРСТ ДИАЛИЗИС СЪРВИСИЗ БЪЛГАРИЯ ЕАД ГР. МОНТАНА,Монтана,МОНТАНА,Монтана,ул. Никола Трендафилов - Колич 7,ИРЕНА АСЕНОВА ДИМИТРОВА,0899616167,,,,,0
ДЦ Фърст Диализис Сървисиз България ЕАД Пловдив,Пловдив,ПЛОВДИВ,Пловдив,ул. Колхида – продължение,Д-Р ВАЛЕРИ ДИМИТРОВ ЦЕКОВ,032/398899,,,,,0
ДЦ ХИПОКРАТ ЕООД,Варна,ВАРНА,Варна,ул. Дубровник 58,"ДОЦ. Д-Р МИХАИЛ ЦАНЕВ ДЕЛИЙСКИ, Д.М, АДВ. ПОЛЯ ВЕЛИКОВА ДИМИТРОВА-ЧЕНЕВА, ДАРИН РУСЕВ ЧЕНЕВ",0888814550,43.2263937,27.9257952,nominatim_free,"Gabieli Delivery Services, 58, Дубровник, кв. Левски, Варна, Приморски, Варна, 9010, България",90
ДЦ – ДИАЛМЕД ООД СОФИЯ,София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,ул. Голям Братан 8,"Д-Р ИВАЙЛО НАЧЕВ СРЕДКОВ, Д-Р КИРИЛ АНГЕЛОВ АНАДОЛИЙСКИ, ГЕОРГИ НЯГОЛОВ ЛАЗАРОВ, АННА БОРИСОВА КОТЕВА-ЧОЛАКОВА",,,,,,0
Диализен център ВИА ДИАЛ ООД,Стара Загора,СТАРА ЗАГОРА,Стара Загора,"ул. Армейска 13, , ",Д-Р ВАСИЛ ТОНЧЕВ ЧОЛАКОВ,"0886846166,0887709758",42.421387,25.6099402,nominatim_structured,"Армейска, кв. Казански, Стара Загора, 6010, България",45
Дъчмед Диализа България - Диализен център Шумен ЕООД,Шумен,ШУМЕН,Шумен,ул. Царевец 23,ХАРТЮН ЛЕВОН АВЕДИСЯН,0889435608,43.2810575,26.9219916,nominatim_free,"Царевец, ж.к. Еверест, м. Бялата пръст, Шумен, 9705, България",45
Дъчмед Диализа България-ДЦ Пазарджик,Пазарджик,ПАЗАРДЖИК,Пазарджик,ул. Царица Йоанна 6,"ПЛАМЕН АСЕНОВ МАРТЕВ, ЗДРАВКО ЕМИЛОВ КРАЕВ, ИВАН СТЕФАНОВ ХАРИЗАНОВ","0884 425 455,034499220",42.177566,24.3201938,nominatim_free,"ОДЕТ ИТ-И.ТОДОРОВ, 6, Царица Йоанна, ж.к. Царица Йоана, Пазарджик, 4400, България",100
Дъчмед Диализа България-ДЦ ЕООД,Пловдив,ПЛОВДИВ,Пловдив,"ул. Съединение 42, сградата на ДКЦ V","Д-Р АНАТОЛИЙ РАНГЕЛОВ БАШЕВ, ЗДРАВКО ЕМИЛОВ КРАЕВ, ПАНЧО СТАВРЕВ, ПЛАМЕН АСЕНОВ МАРТЕВ, МИРОСЛАВА НИКОЛОВА МИЛЧЕВА - ТОДОРОВА, ПЛАМЕН АСЕНОВ МАРТЕВ",02/9200384,42.2672951,24.7994321,nominatim_structured,"Съединение, Динк, Марица, Пловдив, 4147, България",45
КОЦ Велико Търново ЕООД,Велико Търново,ВЕЛИКО ТЪРНОВО,Велико Търново,ул. Бузлуджа 1,"Д-Р ИВАН ИЛИЕВ НИКОЛОВ, Д-Р МАРИЯ ИВАНОВА РАЧЕВА",062620249,43.1095857,25.7137869,nominatim_free,"Бузлуджа, Лясковец, Велико Търново, 5140, България",85
КОЦ Враца ЕООД,Враца,ВРАЦА,Враца,бул. Втори юни 68,"Д-Р ГЕОРГИ ЙОРДАНОВ ЕЗЕКИЕВ, Д-Р ЖУЛИЕТА ЦВЕТКОВА ЦОЛОВА, Д-Р ГРИГОР ТОМОВ ГРИГОРОВ",092/622549,43.1981251,23.5597574,nominatim_free,"Комплексен онкологичен център Враца, 68, бул. Втори юни, кв. Медковец, Враца, 3001, България",90
КОЦ Пловдив ЕООД,Пловдив,ПЛОВДИВ,Пловдив,бул. Александър Стамболийски 2 А; бул. Васил Априлов 15А,"ДОЦ. Д-Р ТИХОМИР МИШЕВ ДЕРМЕНДЖИЕВ, ГЕОРГИ ЯНКОВ РАЙЧЕВ, АНТОАНЕТА ДИМИТРОВА ТОМОВА, НИКОЛА ХАРАЛАМБЕВ АНАНОЩЕВ, НЕДЯЛКА ИВАНОВА МИТОВА, КАЛИН КАЛИНОВ, КРАСИМИР СПАСОВ ВАЛЬОВ, МАРИАННА ПЕТРОВА ЯНЕВА, ПАРАШКЕВ МИЛЧЕВ ЦВЕТКОВ, ПЛАМЕН САВОВ ФОТЕВ","032/643831,032/644388",,,,,0
КОЦ Русе ЕООД,Русе,РУСЕ,Русе,ул. Стоян Заимов 2А; ул. Независимост 2,"КАМЕН ЕМИЛОВ КОЖУХАРОВ, ГАЛИНА ХРИСТОВА ГАНЧЕВА","082/819910,082/834339,082/819911",43.8070263,26.0944561,nominatim_free,"Стоян Заимов, Червена вода, Русе, България",55
КОЦ Стара Загора ЕООД,Стара Загора,СТАРА ЗАГОРА,Стара Загора,ул. д-р Тодор Стоянович 15,Д-Р ПЕТЬО ВЪЛЧЕВ ЧИЛИНГИРОВ,042/627 125,42.4239534,25.6142916,nominatim_free,"Д-р Тодор Стоянович, кв. Македонски, Стара Загора, 6003, България",55
КОЦ-ШУМЕН ЕООД,Шумен,ШУМЕН,Шумен,ул. Васил Априлов 63,"СВИЛЕН СТЕФАНОВ АРНАУДОВ, СОТИР СТОЯНОВ КАРАНИКОЛОВ","054/800832,054/800746",43.2755071,26.9171495,nominatim_free,"МБАЛ-Шумен, 63, Васил Априлов, Азалия, м. Бялата пръст, Шумен, 9705, България",100
МБАЛ Д-Р НИКОЛА ВАСИЛИЕВ АД,Кюстендил,КЮСТЕНДИЛ,Кюстендил,пл. 17 Януари 1,"ДИМИТЪР БОЖИДАРОВ СТОИЛОВ, МИХАИЛ КИРИЛОВ ЗОРТЕВ, АЛЕКСАНДЪР СТЕФАНОВ ВЕЛИЧКОВ",078/550261,42.2790156,22.7010496,nominatim_free,"МБАЛ Доктор Никола Василиев, 1, пл. 17 януари, Кюстендил, 2500, България",75
МБАЛ СВ. ИВАН РИЛСКИ ЕООД,Кюстендил,ДУПНИЦА,Дупница,ул. Свети Георги 2; ул. Отец Паисий 2,"СТЕФАН АСПАРУХОВ НИКОЛОВ, ЛЮБОМИР БОЯНОВ ТАУШАНСКИ, РОСЕН АНГЕЛОВ ТИМЧЕВ, ДИМИТЪР ГЕОРГИЕВ НЕДИН, ВЛАДИСЛАВ ИВАНОВ МИКОВ, МАРИЯ ИВАНОВА ЖАЙГАРОВА",0701/51826,,,,,0
МБАЛ КНЯГИНЯ КЛЕМЕНТИНА - СОФИЯ ЕАД,София (столица),СОФИЯ 05 рн СЕРДИКА,СОФИЯ 05 рн СЕРДИКА,бул. Столетов 67 А,"Д-Р ВАСКО МИНКОВ КАЦАРОВ, Д-Р БОРИЛ ПЕТРОВ ПЕТРОВ",02/9268105,,,,,0
МБАЛ Паркхоспитал ЕООД,Пловдив,РОДОПИ,Браниполе,местност Герена 020Г,"Д-Р СВИЛЕН ШИДЕРОВ ПОПОВ, АНТОН СТОЯНОВ МИХНЕВ, ГАЛИНА КАРАУЛАНОВА, ЗДРАВКО ФЕЛИКСОВ КАБАДОЗОВ","032/280307,0879/606042,032/677027",,,,,0
МБАЛ Професор доктор Георги Златарски ЕООД,Видин,БЕЛОГРАДЧИК,Белоградчик,ул. Христо Ботев 34,"ЛИЛИЯ ИВАНОВА НЕСТОРОВА-ТРИФОНОВА, Д-Р ПЕТЯ НИКОЛОВА РУСКОВА, ПЕТЯ НИКОЛОВА РУСКОВА, Д-Р ВИОЛЕТА ИЛИЕВА ДОЧКОВА, Д-Р СОНЯ ИВАНОВА АНГЕЛОВА",0936/53360,43.6261889,22.6922685,nominatim_free,"МБАЛ ""Проф. Георги Златарски"", 34, Христо Ботев, Belogradtschik, ж.к. Здравец, Белоградчик, Видин, 3900, България",100
МБАЛ Св.Св.Козма и Дамян ООД Пловдив,Пловдив,ПЛОВДИВ,Пловдив,"жк Тракия, ул. Маестро Георги Атанасов 19; жк Тракия, бул. Освобождение 79","Д-Р ЗОРНИЦА ВЕСЕЛИНОВА СОТИРОВА, КОНСТАНТИН АНГЕЛОВ ВЛАХОВ",032990047,,,,,0
МБАЛ - Варна ЕООД,Варна,ВАРНА,Варна,"Р-Н ОДЕСОС, ПЛ. П.СЛАВЕЙКОВ 1","ДОЦ. Д-Р ГЕОРГИ ПЕТКОВ ИЛИЕВ, Д-Р РУСИ ПАРАШКЕВОВ РУСЕВ","0877529374,052692009,052632234",,,,,0
МБАЛ - Д-Р АСЕН ВЕЛЕВ ЕООД,Благоевград,РАЗЛОГ,Разлог,УЛ. СВ. СВ. КИРИЛ И МЕТОДИЙ 2,"МАГДАЛЕНА НИКОЛОВА КОЦАКОВА, БОЖИДАР АСЕНОВ ВЕЛЕВ, РАДКА ВЛАДИМИРОВА БОЖИКОВА","0747/89282,0896/787799",,,,,0
МБАЛ - Девня ЕООД,Варна,ДЕВНЯ,Девня,ул. Петрича 10А,"ДОБРОМИР ПЛАМЕНОВ ФИЛИПОВ, Д-Р СТОЯН ДИМИТРОВ КАЛОЯНОВ, КРАСИМИР ВАСИЛЕВ ДИНКОВ, Д-Р АНТОАНЕТА ЖЕЛЯЗКОВА ГЕОРГИЕВА, Д-Р КРАСИМИР ВАСИЛЕВ ДИНКОВ, КОНСТАНТИН ЕНЧЕВ ЯНКОВ, ДОЦ. Д-Р ИВАН ТЕНЧЕВ ГЪЛЪБОВ, Д-Р СНЕЖАНА ЙОВЧЕВА ВАСИЛЕВА, Д-Р КИРИЛ ВЪРБАНОВ ЛОЗАНОВ, МИГЛЕНА СТЕФАНОВА БОЯДЖИЕВА","0519/93490,0519/92433",,,,,0
МБАЛ - Първомай ЕООД,Пловдив,ПЪРВОМАЙ,Първомай,ул. Княз Борис І 51,"Д-Р РУМЯНА ДИМИТРОВА БОЙЛОВА, ИВАН ЯНЧЕВ МАДЖАРОВ, МАРИЯ СПАСОВА НИКЕЗОВА, АТАНАСКА ЙОРДАНОВА ИВАНОВА, ДИМИТЪР КИРТИКОВ","0336/63165,0882/337666,0336/98047",42.0947234,25.2175945,nominatim_free,"Княз Борис I, Дебър, Първомай, Пловдив, 4270, България",55
МБАЛ - ШУМЕН АД,Шумен,ШУМЕН,Шумен,ул. Васил Априлов 63,"ДИМИТЪР ГЕОРГИЕВ КОСТОВ, ЮЛИЯ ДИМИТРОВА ИЛИЕВА, АТАНАС ГЕОРГИЕВ АТАНАСОВ, НЕДКО ПЛАМЕНОВ ТОДОРОВ, ВИКТОР МИНЧЕВ ДИМИТРОВ, ВАЛЕНТИН ТОДОРОВ СЕМКОВ","054/800751,054/855755,054/800733",43.2755071,26.9171495,nominatim_free,"МБАЛ-Шумен, 63, Васил Априлов, Азалия, м. Бялата пръст, Шумен, 9705, България",100
