Наименование,Област,Община,Населено място,Адрес,Управител,Телефон,lat,lng,provider,display_name,quality_score
МБАЛ - Пирдоп АД,София - област,ПИРДОП,Пирдоп,ул. Георги Бенковски 24,"Д-Р ЮЛИЯ ДИМИТРОВА ИЛИЕВА, СОФИ ВЛАДИМИРОВ ДИНЧЕВ, СВЕТОСЛАВ ГЕОРГИЕВ ЧЕРВЕНКОВ, Д-Р ИВАН ВАСИЛЕВ ДИНЕВ, ЛЮБОМИР КОНСТАНТИНОВ ВАСЕВ, ИРИНА РАШКОВА ПАВЛОВА, Г-ЖА ТАТЯНА СПАСОВА КОНЯРСКА, Д-Р ДЕСИСЛАВА ДИМИТРОВА ТОЛИНОВА, ДАНИЕЛА ПЕТРОВА МИРКОВСКА, Д-Р МАРГАРИТА ИВАНОВА ГЕТОВА","0878632701,0886610805,0878632715,07181/5631,0878632731,0878632768",42.7017651,24.1691711,nominatim_free,"МБАЛ Пирдоп, 24, Георги Бенковски, Пирдоп, Софийска, 2070, България",100
МБАЛ - Самоков ЕООД,София - област,САМОКОВ,Самоков,ул. Македония 49,"Д-Р КРАСИМИРА АРАНГЕЛОВА КОВАЧКА, Д-Р СВЕТЛА КИРИЛОВА СКЕЛИНА","072266413,072289266",42.3360306,23.552102,nominatim_free,"МБАЛ Самоков, 49, Македония, Самоков, Софийска, 2000, България",90
МБАЛ - Скин Системс ООД,София - област,ПИРДОП,Пирдоп,ул. Георги Бенковски 24,"Д-Р СПАРТАК СТОЯНОВ МИЛЕВ, Д-Р КАТРИН КОСТАДИНОВА КРАХТОВА-НАСТЕВА","0888707040,0895125771",42.7017651,24.1691711,nominatim_free,"МБАЛ Пирдоп, 24, Георги Бенковски, Пирдоп, Софийска, 2070, България",100
МБАЛ - Скин Системс ООД,София - област,ЕЛИН ПЕЛИН,Доганово,ул. Първа 32,"Д-Р СПАРТАК СТОЯНОВ МИЛЕВ, Д-Р КАТРИН КОСТАДИНОВА КРАХТОВА-НАСТЕВА","0888707040,0895125771",,,,,0
МБАЛ - Скин Системс ООД,София - област,ЕЛИН ПЕЛИН,Елин Пелин,ул. Здравец 15,"Д-Р СПАРТАК СТОЯНОВ МИЛЕВ, Д-Р КАТРИН КОСТАДИНOVA КРАХТОВА-НАСТЕВА","0888707040,0895125771",42.66407,23.6006812,nominatim_free,"МБАЛ Елин Пелин, 15, улица Здравец, Елин Пелин, Софийска, 2100, България",90
МБАЛ Авис Медика ООД,Плевен,ПЛЕВЕН,Плевен,ул. Коста Хаджипакев 7,"АЛЕКСАНДЪР ВЛАДИМИРОВ АНДРЕЕВ, ИРЕН ВЛАДИМИРОВА БАРКЛИ ПАЗ, ВЛАДИМИР ВАСИЛЕВ АНДРЕЕВ","064/909093,0889/231056,064909097,064909092",43.4115425,24.617025,nominatim_free,"Коста Хаджипакев, 9-ти квартал, Централна градска част, Плевен, 5801, България",55
МБАЛ Авис Медика ООД,Плевен,ПЛЕВЕН,Плевен,парк Кайлъка,"АЛЕКСАНДЪР ВЛАДИМИРОВ АНДРЕЕВ, ИРЕН ВЛАДИМИРОВА БАРКЛИ ПАЗ, ВЛАДИМИР ВАСИЛЕВ АНДРЕЕВ","064/909093,0889/231056,064909097,064909092",43.3764539,24.6213913,nominatim_free,"Парк Хотел Кайлъка, 35, Кайлъка, Плевен, 5800, България",55
МБАЛ Авис Медика ООД,Плевен,ПЛЕВЕН,Тученица,ул. Георги Бенковски 19,"АЛЕКСАНДЪР ВЛАДИМИРОВ АНДРЕЕВ, ИРЕН ВЛАДИМИРОВА БАРКЛИ ПАЗ, ВЛАДИМИР ВАСИЛЕВ АНДРЕЕВ","064/909093,0889/231056,064909097,064909092",,,,,0
МБАЛ-Д-р Георги Стоев-Шварц-Троян-ЕООД,Ловеч,ТРОЯН,Троян,ул. Радецки 30,"ПЕНКО СТАЙКОВ БАМБОВ, ТЕОДОРА ПЕТРОВА ВЪЛКОВСКА-КЮРЕКЧИЕВА","0670/62019,067062019,0888695372",42.8927144,24.7016295,nominatim_free,"Радецки, ж.к. Буковец, Троян, Ловеч, 5600, България",45
МБАЛ-Елин Пелин ЕООД,София - област,ЕЛИН ПЕЛИН,Елин Пелин,ул. Здравец 15,"Д-Р МАЯ МЕТОДИЕВА МИКОВА-ЛУКАНОВА, МАРИЯНА АТАНАСОВА МАНОЛОВА","072560152,0887334797",42.66407,23.6006812,nominatim_free,"МБАЛ Елин Пелин, 15, улица Здравец, Елин Пелин, Софийска, 2100, България",90
