Наименование,Област,Община,Населено място,Адрес,Управител,Телефон,original_address,original_city,street_number,street_name_clean,search_query,lat,lng,provider,display_name,quality_score
УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ СВЕТА МАРИНА-ПЛЕВЕН ООД,Плевен,ПЛЕВЕН,Плевен,Местност Русково бърдо,"ИВАЛЕНА МИНКОВА ВАСИЛЕВА, ПРОФ.Д-Р ГРИГОР АНГЕЛОВ ГОРЧЕВ","064/805313,064/805666",Местност Русково бърдо,Плевен,,Местност Русково бърдо,"Местност Русково бърдо, Плевен, България",,,,,0
МБАЛ Уро Медикс ЕООД,Пловдив,ПЛОВДИВ,Пловдив,ул. Колхида продължение МТБ Пловдив Стационар и,Д-Р ЖАН РАДОЕВ ЧИТАЛОВ,"032673499,032280268",ул. Колхида продължение МТБ Пловдив Стационар и,Пловдив,,Колхида продължение МТБ Пловдив Стационар и,"ул. Колхида продължение МТБ Пловдив Стационар и, Пловдив, България",,,,,0
І САГБАЛ СВ. СОФИЯ ЕАД СОФИЯ,София (столица),СОФИЯ 11 рн КРАСНА ПОЛЯНА,СОФИЯ 11 рн КРАСНА ПОЛЯНА,ул. М. Ташев 2,"КОНСТАНТИН ИВАНОВ МАЛЕНОВ, Д-Р МЕТОДИ ВАНГЕЛОВ ЯНКОВ, Д-Р ЕЛИАН ПЕТРОВ РАЧЕВ, Д-Р ИВАН АТАНАСОВ КОСТОВ, Д-Р ГЕРГАНА КИРИЛОВА КОЛАРОВА",02/8220583,ул. М. Ташев 2,СОФИЯ 11 рн КРАСНА ПОЛЯНА,2,М. Ташев,"ул. М. Ташев 2, СОФИЯ 11 рн КРАСНА ПОЛЯНА, България",,,,,0
ІV МБАЛ - СОФИЯ ЕАД,София (столица),СОФИЯ 02 рн КРАСНО СЕЛО,СОФИЯ 02 рн КРАСНО СЕЛО,бул. Македония 38,"СТОЯН ЦВЕТАНОВ МАДЖАРОВ, Д-Р СТЕЛА ВАНЕВА СТАНЧЕВА-ЧЕРНЕВА, Д-Р АРКАДИ ГЕОРГИЕВ ИВАНОВ","02/9521474,02/8519211",бул. Македония 38,СОФИЯ 02 рн КРАСНО СЕЛО,38,Македония,"бул. Македония 38, СОФИЯ 02 рн КРАСНО СЕЛО, България",,,,,0
ІІ МБАЛ - СОФИЯ ЕАД,София (столица),СОФИЯ 05 рн СЕРДИКА,СОФИЯ 05 рн СЕРДИКА,бул. Христо Ботев 120,"КРАСИМИР СТОЯНОВ ПАНДЕВ, Д-Р ГЛИНКА ДИМОВ КОМИТОВ, ДОЦ. Д-Р СТЕФАН НИКОЛАЕВ УЗУНОВ","9158544,02/9158340",бул. Христо Ботев 120,СОФИЯ 05 рн СЕРДИКА,120,Христо Ботев,"бул. Христо Ботев 120, СОФИЯ 05 рн СЕРДИКА, България",,,,,0
АДЖИБАДЕМ СИТИ КЛИНИК УМБАЛ ЕООД,София (столица),СОФИЯ 09 рн ЛОЗЕНЕЦ,СОФИЯ 09 рн ЛОЗЕНЕЦ,ул. Околовръстен път 127,"ИЛИАН ГЕОРГИЕВ ГРИГОРОВ, МЕЛИХ КАРАХАСАНОГЛУ, ВЕНЕЛИНА ФИЛИПОВА АТАНАСОВА, АНДРЕЙ ПЪРВАНОВ МАРКОВ, Д-Р САШКА ЛАЗАРОВА РУСКОВА, АТАНАС ИВАНОВ ТУМАНОВ, АЛЕКСАНДЪР ВАЛЕНТИНОВ ИЛИЕВ","02/9604949,02/9604919",ул. Околовръстен път 127,СОФИЯ 09 рн ЛОЗЕНЕЦ,127,Околовръстен път,"ул. Околовръстен път 127, СОФИЯ 09 рн ЛОЗЕНЕЦ, България",,,,,0
АДЖИБАДЕМ СИТИ КЛИНИК УМБАЛ ЕООД,София (столица),СОФИЯ 15 рн МЛАДОСТ,СОФИЯ 15 рн МЛАДОСТ,бул. Цариградско шосе 66А,"ИЛИАН ГЕОРГИЕВ ГРИГОРОВ, МЕЛИХ КАРАХАСАНОГЛУ, ВЕНЕЛИНА ФИЛИПОВА АТАНАСОВА, АНДРЕЙ ПЪРВАНОВ МАРКОВ, Д-Р САШКА ЛАЗАРОВА РУСКОВА, АТАНАС ИВАНОВ ТУМАНОВ, АЛЕКСАНДЪР ВАЛЕНТИНОВ ИЛИЕВ","02/9604949,02/9604919",бул. Цариградско шосе 66А,СОФИЯ 15 рн МЛАДОСТ,66А,Цариградско шосе,"бул. Цариградско шосе 66А, СОФИЯ 15 рн МЛАДОСТ, България",,,,,0
АДЖИБАДЕМ СИТИ КЛИНИК УМБАЛ ТОКУДА СОФИЯ ЕАД,София (столица),СОФИЯ 09 рн ЛОЗЕНЕЦ,СОФИЯ 09 рн ЛОЗЕНЕЦ,бул. Н. Й. Вапцаров 51Б,"РОСЕН ЕМИЛ ПАНОВ, ЯВОР НИКОЛАЕВ ДРЕНСКИ, ИЛИАН ГЕОРГИЕВ ГРИГОРОВ, Д-Р ВЕНЕЛИНА ФИЛИПОВА АТАНАСОВА","02/4034359,02/4034225",бул. Н. Й. Вапцаров 51Б,СОФИЯ 09 рн ЛОЗЕНЕЦ,51Б,Н. Й. Вапцаров,"бул. Н. Й. Вапцаров 51Б, СОФИЯ 09 рн ЛОЗЕНЕЦ, България",,,,,0
АИСМП МЦ ПОЛИМЕД АД,София (столица),СОФИЯ 03 рн ВЪЗРАЖДАНЕ,СОФИЯ 03 рн ВЪЗРАЖДАНЕ,ул. Брегалница 47,ЦВЕТАН ДИМОВ ДИМАНОВ,8157931,ул. Брегалница 47,СОФИЯ 03 рн ВЪЗРАЖДАНЕ,47,Брегалница,"ул. Брегалница 47, СОФИЯ 03 рн ВЪЗРАЖДАНЕ, България",,,,,0
АСИП-МЦ-ЕВРОХОСПИТАЛ ПЛОВДИВ ЕООД,Пловдив,ПЛОВДИВ,Пловдив,ул. Колхида-продължение 2 и манипулационна,Д-Р ТАНКА ДЕЯНОВА ТУХЧИЕВА,"0889474781,032/6207015",ул. Колхида-продължение 2 и манипулационна,Пловдив,,Колхида-продължение,"ул. Колхида-продължение 2 и манипулационна, Пловдив, България",,,,,0
БПЛР - филиал гр. Варна при МИ НА МВР,Варна,ВАРНА,Варна,к.к. Свети Константин и Елена,"ПРОФ. Д-Р НЕНЧО ПЕТРОВ СМИЛОВ, ПРОФ. Д-Р ИЛИЯ АТАНАСОВ БАТАШКИ","052664810,0887232371,052/652496,052/501979",к.к. Свети Константин и Елена,Варна,,к.к. Свети Константин и Елена,"к.к. Свети Константин и Елена, Варна, България",,,,,0
БПЛР ВМА-БАНКЯ СОФИЯ,София (столица),СОФИЯ 24 рн БАНКЯ,СОФИЯ 24 рн БАНКЯ,ул. Иван Вазов 5,"Д-Р ГЕОРГИ ДАВИДОВ ДАВИДОВ, Д-Р ИВАН ЛАЛЕВ ДЯНКОВ","02/9977194,02/9777149",ул. Иван Вазов 5,СОФИЯ 24 рн БАНКЯ,5,Иван Вазов,"ул. Иван Вазов 5, СОФИЯ 24 рн БАНКЯ, България",,,,,0
БПЛР МИ МВР – ФИЛИАЛ БАНКЯ СОФИЯ,София (столица),СОФИЯ 24 рн БАНКЯ,СОФИЯ 24 рн БАНКЯ,ул. Хисар 2,"ПРОФ. Д-Р ДАНИЕЛА ВАЛЕНТИНОВА МОНОВА, ДОЦ. Д-Р ИЛИЯ АТАНАСОВ БАТАШКИ",02/9821506,ул. Хисар 2,СОФИЯ 24 рн БАНКЯ,2,Хисар,"ул. Хисар 2, СОФИЯ 24 рн БАНКЯ, България",,,,,0
ВМА-МБАЛ-ПЛЕВЕН,Плевен,ПЛЕВЕН,Плевен,ул. Г. Кочев 6,"Д-Р РОСЕН ИВАНОВ АНТИНОВ, ДИМИТЪР СТОЙЧЕВ РАДАНОВ, БОЯН МИЛЧЕВ КУЧЕВ, Д-Р НИКОЛАЙ ВЪЛОВ ТРИФОНОВ","064822875,064/890604,0888/155507,064890608",ул. Г. Кочев 6,Плевен,6,Г. Кочев,"ул. Г. Кочев 6, Плевен, България",,,,,0
ВОЕННОМЕДИЦИНСКА АКАДЕМИЯ,София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,ул. Св. Георги Софийски 3,"ГЕНЕРАЛ-МАЙОР ПРОФ. ВЕНЦИСЛАВ МЕТОДИЕВ МУТАФЧИЙСКИ, ГЕН.МАЙОР ПРОФ. СТОЯН ДИМИТРОВ ТОНЕВ, ПОЛК.ДОЦ. КРУМ СОТИРОВ КАЦАРОВ, ГЕНЕРАЛ МАЙОР ЧЛ. КОР. ПРОФ. НИКОЛАЙ ПЕТРОВ",9226000,ул. Св. Георги Софийски 3,СОФИЯ 10 рн ТРИАДИЦА,3,Св. Георги Софийски,"ул. Св. Георги Софийски 3, СОФИЯ 10 рн ТРИАДИЦА, България",,,,,0
ВТОРА САГБАЛ ШЕЙНОВО ЕАД,София (столица),СОФИЯ 01 рн СРЕДЕЦ,СОФИЯ 01 рн СРЕДЕЦ,ул. Шейново 19,"Д-Р РУМЕН ЛЮБЕНОВ ВЕЛЕВ, ИВАН АТАНАСОВ КОСТОВ, Д-Р ТАНЯ ЛЮБОМИРОВА АНДРЕЕВА-РАЙНОВА","02/9659430,9441163",ул. Шейново 19,СОФИЯ 01 рн СРЕДЕЦ,19,Шейново,"ул. Шейново 19, СОФИЯ 01 рн СРЕДЕЦ, България",,,,,0
ДИАЛИЗЕН ЦЕНТЪР ВИРТУС МЕДИКАЛ ЕООД,Варна,ВАРНА,Варна,ул. Херман Шкорпил 6,ПРОФ. Д-Р ВАЛЕНТИН ХРИСТОФОРОВ ИКОНОМОВ,052600002,ул. Херман Шкорпил 6,Варна,6,Херман Шкорпил,"ул. Херман Шкорпил 6, Варна, България",,,,,0
ДИАЛИЗЕН ЦЕНТЪР ХЕМОМЕД ЕООД СОФИЯ,София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,бул. България 104,Д-Р ПАВЛИНА СЛАВЧЕВА ПАУНОВА,0888806167,бул. България 104,СОФИЯ 10 рн ТРИАДИЦА,104,България,"бул. България 104, СОФИЯ 10 рн ТРИАДИЦА, България",,,,,0
ДКЦ НЕОКЛИНИК ЕАД,София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,бул. Петко Ю. Тодоров 20,"ВАЛЕНТИН ДИМИТРОВ ДИМИТРОВ, АТАНАС ИВАНОВ ТУМАНОВ, ЙОРДАНКА СТАНИМИРОВА ЯНАКИЕВА",070010744,бул. Петко Ю. Тодоров 20,СОФИЯ 10 рн ТРИАДИЦА,20,Петко Ю. Тодоров,"бул. Петко Ю. Тодоров 20, СОФИЯ 10 рн ТРИАДИЦА, България",,,,,0
ДКЦ СВЕТИ ПАНТАЛЕЙМОН ООД,Плевен,ПЛЕВЕН,Плевен,жк Дружба ул. Трите бора 24,"Д-Р ЕЛИЗА ЛЮБЕНОВА ГЕОРГИЕВА, Д-Р ЙОРДАН ГЕОРГИЕВ ГЕОРГИЕВ",064/872020,жк Дружба ул. Трите бора 24,Плевен,24,Дружба ул. Трите бора,"жк Дружба ул. Трите бора 24, Плевен, България",,,,,0
ДКЦ ХІV СОФИЯ ЕООД,София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,ул. Стефан Сарафов 7,"МИЛЕН ПЕТКОВ ДИМОВ, МАРИАНА МЕТОДИЕВА ВАСИЛЕВА-МАКСИМОВА, РАЙКО СТЕФАНОВ ЦВЕТКОВ","02/9521363,02/9521546",ул. Стефан Сарафов 7,СОФИЯ 10 рн ТРИАДИЦА,7,Стефан Сарафов,"ул. Стефан Сарафов 7, СОФИЯ 10 рн ТРИАДИЦА, България",,,,,0
