Наименование,Област,Община,Населено място,Адрес,Управител,Телефон,original_address,original_city,street_number,street_name_clean,search_query,lat,lng,provider,display_name,quality_score
МБАЛ - Девня ЕООД,Варна,ДЕВНЯ,Девня,ул. Петрича 10А,"ДОБРОМИР ПЛАМЕНОВ ФИЛИПОВ, Д-Р СТОЯН ДИМИТРОВ КАЛОЯНОВ, КРАСИМИР ВАСИЛЕВ ДИНКОВ, Д-Р АНТОАНЕТА ЖЕЛЯЗКОВА ГЕОРГИЕВА, Д-Р КРАСИМИР ВАСИЛЕВ ДИНКОВ, КОНСТАНТИН ЕНЧЕВ ЯНКОВ, ДОЦ. Д-Р ИВАН ТЕНЧЕВ ГЪЛЪБОВ, Д-Р СНЕЖАНА ЙОВЧЕВА ВАСИЛЕВА, Д-Р КИРИЛ ВЪРБАНОВ ЛОЗАНОВ, МИГЛЕНА СТЕФАНОВА БОЯДЖИЕВА","0519/93490,0519/92433",ул. Петрича 10А,Девня,10А,Петрича,"ул. Петрича 10А, Девня, България",,,,,0
МБАЛ БОЛНИЦА ЕВРОПА ООД СОФИЯ,София (столица),СОФИЯ 02 рн КРАСНО СЕЛО,СОФИЯ 02 рн КРАСНО СЕЛО,бул. Пенчо Славейков 2,"ПРОФ.Д-Р ВЕНЦИСЛАВ ТОДОРОВ ЦВЕТКОВ, ДОЦ. Д-Р ВЛАДИСЛАВ БОРИСОВ ИВАНОВ, ДОЦ. Д-Р ВЛАДИСЛАВ БОРИСОВ ИВАНОВ И Д-Р ВЕНЦИСЛАВ ТОДОРОВ ИВАНОВ -ЗАЕДНО И ПООТДЕЛНО",0887111152,бул. Пенчо Славейков 2,СОФИЯ 02 рн КРАСНО СЕЛО,2,Пенчо Славейков,"бул. Пенчо Славейков 2, СОФИЯ 02 рн КРАСНО СЕЛО, България",,,,,0
МБАЛ ВИТА ЕООД СОФИЯ,София (столица),СОФИЯ 07 рн СЛАТИНА,СОФИЯ 07 рн СЛАТИНА,ул. Драговица 9,Д-Р ТИХОМИР КОСТОВ САВЧЕВ,,ул. Драговица 9,СОФИЯ 07 рн СЛАТИНА,9,Драговица,"ул. Драговица 9, СОФИЯ 07 рн СЛАТИНА, България",,,,,0
МБАЛ ВИТА ЕООД СОФИЯ,София (столица),СОФИЯ 09 рн ЛОЗЕНЕЦ,СОФИЯ 09 рн ЛОЗЕНЕЦ,ул. Филип Кутев 10,Д-Р ТИХОМИР КОСТОВ САВЧЕВ,,ул. Филип Кутев 10,СОФИЯ 09 рн ЛОЗЕНЕЦ,10,Филип Кутев,"ул. Филип Кутев 10, СОФИЯ 09 рн ЛОЗЕНЕЦ, България",,,,,0
МБАЛ Д-р Киро Попов - Карлово ЕООД,Пловдив,КАРЛОВО,Карлово,ул. Ген. майор Гурко Мархолев 3,"Д-Р ДАНИЕЛ ЛИЛОВ ПРАНДЖЕВ, ДОБРИНКА ТАНЧЕВА ЧУЛКОВА, ЦВЯТКО МИТОВ ИМИРСКИ, АНДРЕАН МИЛКОВ МИНЕВ, ХРИСТО ПЕЛЕВ, ОБРЕЙКО ГЕОРГИЕВ ОБРЕЙКОВ","0335/90802,0335/94945",ул. Ген. майор Гурко Мархолев 3,Карлово,3,Ген. майор Гурко Мархолев,"ул. Ген. майор Гурко Мархолев 3, Карлово, България",,,,,0
МБАЛ ДОВЕРИЕ АД СОФИЯ,София (столица),СОФИЯ 18 рн ОВЧА КУПЕЛ,СОФИЯ 18 рн ОВЧА КУПЕЛ,"жк Овча купел 2, ул. Фридрих Грюнангер 2","ДИМИТЪР СТЕФАНОВ ГУГУТКОВ, СИЙКА ДОБРЕВА АНДРЕЕВА, ПЕТЪР ЙОРДАНОВ КЕРЕМЕДЧИЕВ, НИКОЛАЙ ГРИГОРОВ ДИМИТРОВ",4005990/401,"жк Овча купел 2, ул. Фридрих Грюнангер 2",СОФИЯ 18 рн ОВЧА КУПЕЛ,2,Овча купел,"жк Овча купел 2, ул. Фридрих Грюнангер 2, СОФИЯ 18 рн ОВЧА КУПЕЛ, България",,,,,0
МБАЛ ДУЛОВО ЕООД,Силистра,ДУЛОВО,Дулово,УЛ. РОЗОВАДОЛИНА 37,"ЯНИТА КОЛЕВА АНДРЕЕВА, АЛИ АЛИ СЕЛИМАН, НЕДКА ГЕОРГИЕВА ЦВЕНКОВА, СТЕФАН ХРИСТОВ СТОЙЧЕВ, КОНСТАНТИН ВЛАДИМИРОВ ПОПОВ","086423200,086423029",УЛ. РОЗОВАДОЛИНА 37,Дулово,37,РОЗОВАДОЛИНА,"УЛ. РОЗОВАДОЛИНА 37, Дулово, България",,,,,0
МБАЛ ЕВРОХОСПИТАЛ ООД ВАРНА,Варна,ВАРНА,Виница,"кв. Виница, ул. Найден Райков 2А","ПЛАМЕН СТЕФАНОВ ПАВЛОВ, ВЕСЕЛИН МИХАЙЛОВ БАЛКАНСКИ, Д-Р АСЕН СЛАВОВ СТАНЧЕВ, Д-Р ЧАВДАР АТАНАСОВ ДОБРЕВ","052/387900,052/387927","кв. Виница, ул. Найден Райков 2А",Виница,2А,"кв. Виница, ул. Найден Райков","кв. Виница, ул. Найден Райков 2А, Виница, България",,,,,0
МБАЛ ЗА ЖЕНСКО ЗДРАВЕ НАДЕЖДА ООД СОФИЯ,София (столица),СОФИЯ 11 рн КРАСНА ПОЛЯНА,СОФИЯ 11 рн КРАСНА ПОЛЯНА,ул. Блага вест 3,Д-Р АНЕЛИЯ МАРИНОВА РАЧЕВА-КОТОВА,0882449370,ул. Блага вест 3,СОФИЯ 11 рн КРАСНА ПОЛЯНА,3,Блага вест,"ул. Блага вест 3, СОФИЯ 11 рн КРАСНА ПОЛЯНА, България",,,,,0
МБАЛ ЗДРАВЕТО 2012 ООД СОФИЯ,София (столица),СОФИЯ 02 рн КРАСНО СЕЛО,СОФИЯ 02 рн КРАСНО СЕЛО,"гр. София, жк Красно село, ул. Маестро Кънев 4","ДИМИТЪР ПЛАМЕНОВ МИТЕВ, Д-Р ПЛАМЕН ДИМИТРОВ МИТЕВ, Д-Р ПЛАМЕН ДИМИТРОВ МИТЕВ И ДОЦ. АЛБЕНА ТОДОРОВА МИТЕВА -ЗАЕДНО, АЛБЕНА ТОДОРОВА КРАЕВА-МИТЕВА","02/9524297,0888 869620","гр. София, жк Красно село, ул. Маестро Кънев 4",СОФИЯ 02 рн КРАСНО СЕЛО,4,"гр. София, жк Красно село, ул. Маестро Кънев","гр. София, жк Красно село, ул. Маестро Кънев 4, СОФИЯ 02 рн КРАСНО СЕЛО, България",,,,,0
МБАЛ ЛОЗЕНЕЦ ЕАД,София (столица),СОФИЯ 09 рн ЛОЗЕНЕЦ,СОФИЯ 09 рн ЛОЗЕНЕЦ,УЛ. КОЗЯК 1,"ДОЦ. Д-Р РАДОСВЕТ ПЕТРОВ ГОРНЕВ, Д-Р ХРИСТО ВАЛЕНТИНОВ СТОЯНОВ, Д-Р ОЛГА ВЛАДИМИРОВА МИЦОВА - МАСЛАРОВА",9607607,УЛ. КОЗЯК 1,СОФИЯ 09 рн ЛОЗЕНЕЦ,1,КОЗЯК,"УЛ. КОЗЯК 1, СОФИЯ 09 рн ЛОЗЕНЕЦ, България",,,,,0
МБАЛ ЛЮЛИН ЕАД СОФИЯ,София (столица),СОФИЯ 19 рн ЛЮЛИН,СОФИЯ 19 рн ЛЮЛИН,"жк Люлин-6 бул. д-р Петър Дертлиев 81и 90, ул. Ал. Пушкин 71","Д-Р АНГЕЛ ЛЮБЕНОВ ПОПОВ, Д-Р ГЕОРГИ МИХАЙЛОВ ГЕОРГИЕВ","02/8108906,02/8108909","жк Люлин-6 бул. д-р Петър Дертлиев 81и 90, ул. Ал. Пушкин 71",СОФИЯ 19 рн ЛЮЛИН,71,Люлин-6 бул. д-р Петър Дертлиев,"жк Люлин-6 бул. д-р Петър Дертлиев 81и 90, ул. Ал. Пушкин 71, СОФИЯ 19 рн ЛЮЛИН, България",,,,,0
МБАЛ Мед Лайн Клиник АД Пловдив,Пловдив,ПЛОВДИВ,ПЛОВДИВ 1 р-н ЦЕНТРАЛЕН,ул. Филип Македонски 37,ПРОФ. НЕВЕН ЕНЧЕВ ФОН ГОЛДЕНБУРГ,"032960699,0878656684",ул. Филип Македонски 37,ПЛОВДИВ 1 р-н ЦЕНТРАЛЕН,37,Филип Македонски,"ул. Филип Македонски 37, ПЛОВДИВ 1 р-н ЦЕНТРАЛЕН, България",,,,,0
МБАЛ НКБ ЕАД СОФИЯ,София (столица),СОФИЯ 12 рн ИЛИНДЕН,СОФИЯ 12 рн ИЛИНДЕН,"гр.София район Илинден ул. Коньовица 65 и гр. Банкя, ул. Шейново 4","РОСЕН ВАНЕВ ПЕТКОВ, ДОЦ. Д-Р ВЛАДИМИР БОРИСОВ ПИЛОСОФ, ПРОФ. Д-Р МАРИО ДРАГАНОВ СТАНКЕВ, КРАСИМИР РОСЕНОВ ДЖИНСОВ","8221582,9211410","гр.София район Илинден ул. Коньовица 65 и гр. Банкя, ул. Шейново 4",СОФИЯ 12 рн ИЛИНДЕН,4,гр.София район Илинден ул. Коньовица,"гр.София район Илинден ул. Коньовица 65 и гр. Банкя, ул. Шейново 4, СОФИЯ 12 рн ИЛИНДЕН, България",,,,,0
МБАЛ ПОЛИМЕД ООД СОФИЯ,София (столица),СОФИЯ 03 рн ВЪЗРАЖДАНЕ,СОФИЯ 03 рн ВЪЗРАЖДАНЕ,"гр.София 1303, р-н Възраждане, ул. Брегалница 47","Д-Р ЦВЕТАН ДИМОВ ДИМАНОВ, ВЕНЦИСЛАВ ЙОРДАНОВ ДИМОВ, ЙОРДАН ГЕОРГИЕВ ПЕЙЧЕВ",8157931,"гр.София 1303, р-н Възраждане, ул. Брегалница 47",СОФИЯ 03 рн ВЪЗРАЖДАНЕ,47,гр.София,"гр.София 1303, р-н Възраждане, ул. Брегалница 47, СОФИЯ 03 рн ВЪЗРАЖДАНЕ, България",,,,,0
МБАЛ Павликени ЕООД,Велико Търново,ПАВЛИКЕНИ,Павликени,ул. Васил Петлешков 2,Д-Р РЕНЕТА НИКОЛОВА КРЪСТЕВА,0882373777,ул. Васил Петлешков 2,Павликени,2,Васил Петлешков,"ул. Васил Петлешков 2, Павликени, България",,,,,0
МБАЛ Проф. Д-р Константин Чилов ЕООД,Смолян,МАДАН,Мадан,ул. Перелик 9,СТЕФАН АСЕНОВ ХАДЖИЕВ,"0308/98902,0887227102",ул. Перелик 9,Мадан,9,Перелик,"ул. Перелик 9, Мадан, България",,,,,0
МБАЛ СВ. АННА - СОФИЯ АД,София (столица),СОФИЯ 15 рн МЛАДОСТ,СОФИЯ 15 рн МЛАДОСТ,жк МЛАДОСТ 1 УЛ. ДИМИТЪР МОЛЛОВ 1,"Д-Р СЛАВЧО СОТИРОВ БЛИЗНАКОВ, ДИМИТЪР ВЪЛЧИНОВ ДИМИТРОВ",9759000,Ж.К. МЛАДОСТ 1 УЛ. ДИМИТЪР МОЛЛОВ 1,СОФИЯ 15 рн МЛАДОСТ,1,МЛАДОСТ,"жк МЛАДОСТ 1 УЛ. ДИМИТЪР МОЛЛОВ 1, СОФИЯ 15 рн МЛАДОСТ, България",,,,,0
МБАЛ СВ. БОГОРОДИЦА ЕООД СОФИЯ,София (столица),СОФИЯ 04 рн ОБОРИЩЕ,СОФИЯ 04 рн ОБОРИЩЕ,Тракия 46,"Д-Р ИЛИЯ ИЛИЕВ КАЛЧЕВ, Д-Р НИКОЛАЙ ЛЮБЕНОВ БОЛТАДЖИЕВ","8462016,8438921",Тракия 46,СОФИЯ 04 рн ОБОРИЩЕ,46,Тракия,"Тракия 46, СОФИЯ 04 рн ОБОРИЩЕ, България",,,,,0
МБАЛ СВ. ПАНТАЛЕЙМОН СОФИЯ АД,София (столица),СОФИЯ 15 рн МЛАДОСТ,СОФИЯ 15 рн МЛАДОСТ,бул. Александър Малинов 63,ТАНЬО ИВАНОВ СЕЧАНОВ,"9741000,9744450",бул. Александър Малинов 63,СОФИЯ 15 рн МЛАДОСТ,63,Александър Малинов,"бул. Александър Малинов 63, СОФИЯ 15 рн МЛАДОСТ, България",,,,,0
МБАЛ СВ. СОФИЯ ЕООД СОФИЯ,София (столица),СОФИЯ 17 рн ВИТОША,СОФИЯ 17 рн ВИТОША,бул. България 104,"МИГЛЕНА ТОДОРОВА МИХОВА, ХРИСТО ДИМИТРОВ МАЗНЕЙКОВ, Д-Р ХРИСТО ДИМИТРОВ МАЗНЕЙКОВ И ПРОКУРИСТ Д-Р МИХАИЛ КИРИЛОВ ЗОРТЕВ, Д-Р ВАЛЕНТИНА ИЛИЕВА МАЗНЕЙКОВА, ДЕСИСЛАВА АСЕНОВА МАЛИНОВА, Д-Р ХРИСТО ДИМИТРОВ МАЗНЕЙКОВ И ПРОКУРИСТ Д-Р МЕТОДИ ВАНГЕЛОВ ЯНКОВ",02/8184666,бул. България 104,СОФИЯ 17 рн ВИТОША,104,България,"бул. България 104, СОФИЯ 17 рн ВИТОША, България",,,,,0
МБАЛ СВЕТИ ГЕОРГИ ПЕРНИК ООД,София (столица),СОФИЯ 19 рн ЛЮЛИН,СОФИЯ 19 рн ЛЮЛИН,"РАЙОН СОФИЯ 19 рн ЛЮЛИН, ул. 109 -та 19",ДОЦ. Д-Р СПАС НИКОЛОВ СПАСКОВ,,"РАЙОН СОФИЯ 19 рн ЛЮЛИН, ул. 109 -та 19",СОФИЯ 19 рн ЛЮЛИН,19,РАЙОН СОФИЯ,"РАЙОН СОФИЯ 19 рн ЛЮЛИН, ул. 109 -та 19, СОФИЯ 19 рн ЛЮЛИН, България",,,,,0
МБАЛ СЕРДИКАМЕД ЕООД,София (столица),СОФИЯ 18 рн ОВЧА КУПЕЛ,СОФИЯ 18 рн ОВЧА КУПЕЛ,База 2 жк Овча купел 2 бул. Президент Линкълн 128; База 1 жк Овча купел 1 ул. Монтевидео 21,"Д-Р МЕТОДИ ВАНГЕЛОВ ЯНКОВ, Д-Р МАРИЯ МЕТОДИЕВА ЯНКОВА, Д-Р ТИНКА АНГЕЛОВА ДАНЧЕВА","0888949958,02/9049100",База 2 жк Овча купел 2 бул. Президент Линкълн 128; База 1 жк Овча купел 1 ул. Монтевидео 21,СОФИЯ 18 рн ОВЧА КУПЕЛ,21,База,"База 2 жк Овча купел 2 бул. Президент Линкълн 128; База 1 жк Овча купел 1 ул. Монтевидео 21, СОФИЯ 18 рн ОВЧА КУПЕЛ, България",,,,,0
МБАЛ Св. Иван Рилски ЕООД Козлодуй,Враца,КОЗЛОДУЙ,Козлодуй,ул. Св. Св. Кирил и Методий 1,"НИКОЛАЙ СТЕФАНОВ ДИМОВ, Д-Р ЮЛИЯН ЙОРДАНОВ ПЪРВОЛОВ, Д-Р БИЛЯНА СИМЕОНОВА СТОЯНОВСКА, Д-Р РУМЕН СТОЯНОВ ТИХОЛОВ, Д-Р ОЛГА ТОШЕВА НИКОЛОВА, Д-Р ДИЛЯН НИКИФОРОВ ПЕТРОВ, Д-Р ПЛАМЕН ТИХОМИРОВ ПЕТРОВ, Д-Р МОМЧИЛ ДЕНЕВ ИВАНОВ, Д-Р ЕМИЛ ВИКТОРОВ ГОГОШЕВ","0973/85200,0973/80714,0973/81211,0973/85214,0878690740",ул. Св. Св. Кирил и Методий 1,Козлодуй,1,Св. Св. Кирил и Методий,"ул. Св. Св. Кирил и Методий 1, Козлодуй, България",,,,,0
МБАЛ Свети Панталеймон-Плевен ООД,Плевен,ПЛЕВЕН,Плевен,"жк. Дружба, ул. Трите бора 24","СОНЯ ИВАНОВА МУКОВА-АТАНАСОВА, Д-Р ЕЛИЗА ЛЮБЕНОВА ГЕОРГИЕВА, ЙОРДАН ГЕОРГИЕВ ГЕОРГИЕВ","0889321219,064/872020,0888/928686","жк. Дружба, ул. Трите бора 24",Плевен,24,". Дружба, ул. Трите бора","жк. Дружба, ул. Трите бора 24, Плевен, България",,,,,0
МБАЛ Тетевен ЕООД,Ловеч,ТЕТЕВЕН,Тетевен,Д.Благоев 62,"МИХАИЛ НЕНОВ НИКОЛОВСКИ, МАДЛЕНА ЦВЕТАНОВА БОЯДЖИЕВА-НИЧЕВА, НЕВЕЛИНА ВАСИЛЕВА ГАНЕВА","0892602778,0678/52141",Д.Благоев 62,Тетевен,62,Д.Благоев,"Д.Благоев 62, Тетевен, България",,,,,0
МБАЛ ХИГИЯ АД,Пазарджик,ПАЗАРДЖИК,Пазарджик,ул. Св. Иван Рилски 3,ЦВЕТЕЛИНА СТАЙКОВА СПИРИДОНОВА,,ул. Св. Иван Рилски 3,Пазарджик,3,Св. Иван Рилски,"ул. Св. Иван Рилски 3, Пазарджик, България",,,,,0
МБАЛ Христо Ботев АД Враца,Враца,ОРЯХОВО,Оряхово,ул. Архитект Цолов 98,"Д-Р КЕТИ ДИТКОВА ЦЕНОВА-СРЕДКОВА, ВЛАДИСЛАВ ХРИСТОВ ИВАНОВ, ОРЛИН ВЕСЕЛИНОВ ЦВЕТКОВ, СВЕТОЗАР БОРИСОВ ЛУКАНОВ, Д-Р ПЕТЪР ЙОРДАНОВ КЕРЕМЕДЧИЕВ, ЕВГЕНИ ГЕОРГИЕВ ЛЮБЕНОВ","092/665110, 0884709012",ул. Архитект Цолов 98,Оряхово,98,Архитект Цолов,"ул. Архитект Цолов 98, Оряхово, България",,,,,0
МБАЛНП СВ. НАУМ ЕАД СОФИЯ,София (столица),СОФИЯ 08 рн ИЗГРЕВ,СОФИЯ 08 рн ИЗГРЕВ,бул. Цариградско шосе IV-ти километър ул. д-р Любен Русев 1,"АКАД. ПРОФ. Д-Р ИВАН ГОСПОДИНОВ МИЛАНОВ, ПАРАСКЕВА КОСТОВА СТАМЕНОВА","02/9702102, 02/8709309",бул. Цариградско шосе IV-ти километър ул. д-р Любен Русев 1,СОФИЯ 08 рн ИЗГРЕВ,1,Цариградско шосе IV-ти километър ул. д-р Любен Русев,"бул. Цариградско шосе IV-ти километър ул. д-р Любен Русев 1, СОФИЯ 08 рн ИЗГРЕВ, България",,,,,0
МБПЛ Иван Раев -Сопот ЕООД,Пловдив,СОПОТ,Сопот,ул. Трети март 20,Д-Р СТЕФАН КИРИЛОВ АНАСТАСОВ,"03134/7966, 0887775533",ул. Трети март 20,Сопот,20,Трети март,"ул. Трети март 20, Сопот, България",,,,,0
МБПЛР СЕРДИКА ЕООД,София (столица),СОФИЯ 18 рн ОВЧА КУПЕЛ,СОФИЯ 18 рн ОВЧА КУПЕЛ,бул. Монтевидео 21,"Д-Р ВИОЛЕТА ТОНЧЕВА МАГАЕВА, Д-Р МЕТОДИ ВАНГЕЛОВ ЯНКОВ, Д-Р СПАС ИГНАТОВ ИГОВ",0888949958,бул. Монтевидео 21,СОФИЯ 18 рн ОВЧА КУПЕЛ,21,Монтевидео,"бул. Монтевидео 21, СОФИЯ 18 рн ОВЧА КУПЕЛ, България",,,,,0
МЕДИЦИНСКИ ЦЕНТЪР БАЛКАНМЕД ООД,София (столица),СОФИЯ 04 рн ОБОРИЩЕ,СОФИЯ 04 рн ОБОРИЩЕ,ул. Струма 6,"Д-Р МИХАЕЛА ВАСКОВА ПЕТРОВА, Д-Р ВИКТОР АСПАРУХОВ КАМБУРОВ",0889313050,ул. Струма 6,СОФИЯ 04 рн ОБОРИЩЕ,6,Струма,"ул. Струма 6, СОФИЯ 04 рн ОБОРИЩЕ, България",,,,,0
МЕДИЦИНСКИ ЦЕНТЪР СВЕТЛИНА ЕООД,София (столица),СОФИЯ 05 рн СЕРДИКА,СОФИЯ 05 рн СЕРДИКА,бул. Княгиня Мария Луиза 191,СТЕФАН НЕДКОВ НЕДЕВ,,бул. Княгиня Мария Луиза 191,СОФИЯ 05 рн СЕРДИКА,191,Княгиня Мария Луиза,"бул. Княгиня Мария Луиза 191, СОФИЯ 05 рн СЕРДИКА, България",,,,,0
МИ МВР СОФИЯ,София (столица),СОФИЯ 02 рн КРАСНО СЕЛО,СОФИЯ 02 рн КРАСНО СЕЛО,бул. Ген. М. Скобелев 79,"ПРОФ. Д-Р НЕНЧО ПЕТРОВ СМИЛОВ, ГЕНО КИРОВ КИРОВ, ПРОФ. Д-Р ДАНИЕЛА ВАЛЕНТИНОВА МОНОВА, ДОЦ. Д-Р ИЛИЯ АТАНАСОВ БАТАШКИ",02/9821509,бул. Ген. М. Скобелев 79,СОФИЯ 02 рн КРАСНО СЕЛО,79,Ген. М. Скобелев,"бул. Ген. М. Скобелев 79, СОФИЯ 02 рн КРАСНО СЕЛО, България",,,,,0
МТБ-Пловдив,Пловдив,ПЛОВДИВ,Пловдив,ул. Колхида - продължение,"Д-Р ПЛАМЕН ДИМИТРОВ ПАВЛОВ, ПЛАМЕНКА АНАСТАСОВА КАРАКАШЕВА, НИКОЛАЙ ЗАБУНОВ, ОГНЯН АЛЕКСАНДРОВ НАЙДЕНОВ","032/674658, 032/674659",ул. Колхида - продължение,Пловдив,,Колхида - продължение,"ул. Колхида - продължение, Пловдив, България",,,,,0
МЦ БЕТА КЛИНИК ООД,София (столица),СОФИЯ 09 рн ЛОЗЕНЕЦ,СОФИЯ 09 рн ЛОЗЕНЕЦ,бул. Черни Връх 14,"РОСЕН СИЛВИЕВ ГЕОРГИЕВ, РОСЕН СИЛВИЕВ ГЕОРГИЕВ ЧРЕЗ ПЪЛНОМОЩНИК КАЛИНА МИЛКОВА МИХАЙЛОВА",0884923192,бул. Черни Връх 14,СОФИЯ 09 рн ЛОЗЕНЕЦ,14,Черни Връх,"бул. Черни Връх 14, СОФИЯ 09 рн ЛОЗЕНЕЦ, България",,,,,0
МЦ ВЕРЕЯ ЕООД,Стара Загора,СТАРА ЗАГОРА,Стара Загора,бул. Митрополит Методий Кусев 9 и,ДОЦ. Д-Р ДИМИТЪР НИКОЛОВ ДЖЕЛЕБОВ,042/601460,бул. Митрополит Методий Кусев 9 и,Стара Загора,,Митрополит Методий Кусев,"бул. Митрополит Методий Кусев 9 и, Стара Загора, България",,,,,0
МЦ ЗА ОЧНО ЗДРАВЕ ФОКУС ЕООД,София (столица),СОФИЯ 03 рн ВЪЗРАЖДАНЕ,СОФИЯ 03 рн ВЪЗРАЖДАНЕ,ул. Българска морава 123,Д-Р АНЕТА ЛУКАНОВА МИШЕВА,02/9834581,ул. Българска морава 123,СОФИЯ 03 рн ВЪЗРАЖДАНЕ,123,Българска морава,"ул. Българска морава 123, СОФИЯ 03 рн ВЪЗРАЖДАНЕ, България",,,,,0
МЦ КЛИНИКА СВЕТА МАРИЯ МАГДАЛЕНА ЕООД,София (столица),СОФИЯ 04 рн ОБОРИЩЕ,СОФИЯ 04 рн ОБОРИЩЕ,ул. Бяло море 25,Д-Р КРУМ ПЕТРОВ КРУМОВ,"0888755348, 0887513634",ул. Бяло море 25,СОФИЯ 04 рн ОБОРИЩЕ,25,Бяло море,"ул. Бяло море 25, СОФИЯ 04 рн ОБОРИЩЕ, България",,,,,0
МЦ КЛИНИКА СВЕТА МАРИЯ МАГДАЛЕНА ЕООД,София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,ул. д-р Стефан Сарафов 72,Д-Р КРУМ ПЕТРОВ КРУМОВ,"0888755348, 0887513634",ул. д-р Стефан Сарафов 72,СОФИЯ 10 рн ТРИАДИЦА,72,д-р Стефан Сарафов,"ул. д-р Стефан Сарафов 72, СОФИЯ 10 рн ТРИАДИЦА, България",,,,,0
МЦ Литомед ООД,Пловдив,ПЛОВДИВ,Пловдив,бул. Ал. Стамболийски 31,"Д-Р ВАСИЛ ЛИЛЯНОВ ИВАНОВ, ЗДРАВКО КАБАДОЗОВ","032/668566, 0888199071, 0888397806",бул. Ал. Стамболийски 31,Пловдив,31,Ал. Стамболийски,"бул. Ал. Стамболийски 31, Пловдив, България",,,,,0
МЦ Литомед ООД,Пловдив,РОДОПИ,Браниполе,Местност Герена 020 Г,"Д-Р ВАСИЛ ЛИЛЯНОВ ИВАНОВ, ЗДРАВКО КАБАДОЗОВ","032/668566, 0888199071, 0888397806",Местност Герена 020 Г,Браниполе,,Местност Герена,"Местност Герена 020 Г, Браниполе, България",,,,,0
МЦ ОЧЕН ЛАЗЕРЕН ЦЕНТЪР ВИЖЪН ЕООД,София (столица),СОФИЯ 02 рн КРАСНО СЕЛО,СОФИЯ 02 рн КРАСНО СЕЛО,ул. Виктор Григорович 8,"ЕЛЕНА НЕЙЧЕВА КУМБИЕВА, ЕЛЕНА АТАНАСОВА ДАРДЖИКОВА, ЕЛЕНА АТАНАСОВА ПЕШЕВА",02/9515037,ул. Виктор Григорович 8,СОФИЯ 02 рн КРАСНО СЕЛО,8,Виктор Григорович,"ул. Виктор Григорович 8, СОФИЯ 02 рн КРАСНО СЕЛО, България",,,,,0
МЦ ОЧЕН ЛАЗЕРЕН ЦЕНТЪР ВИЖЪН ЕООД,София (столица),СОФИЯ 14 рн ИСКЪР,СОФИЯ 14 рн ИСКЪР,бул. Проф. Цветан Лазаров 86,"ЕЛЕНА НЕЙЧЕВА КУМБИЕВА, ЕЛЕНА АТАНАСОВА ДАРДЖИКОВА, ЕЛЕНА АТАНАСОВА ПЕШЕВА",02/9515037,бул. Проф. Цветан Лазаров 86,СОФИЯ 14 рн ИСКЪР,86,Проф. Цветан Лазаров,"бул. Проф. Цветан Лазаров 86, СОФИЯ 14 рн ИСКЪР, България",,,,,0
МЦ ПЕНТАГРАМ 2012 ООД,София (столица),СОФИЯ 12 рн ИЛИНДЕН,СОФИЯ 12 рн ИЛИНДЕН,ул. Враня 109-111,"Д-Р ВЕСЕЛИН ТОДОРОВ ДАСКАЛОВ, Д-Р КОНСТАНЦА ТОШЕВА ДАСКАЛОВА",0878974419,ул. Враня 109-111,СОФИЯ 12 рн ИЛИНДЕН,111,Враня,"ул. Враня 109-111, СОФИЯ 12 рн ИЛИНДЕН, България",,,,,0
МЦ РВД ЗДРАВЕ ООД СОФИЯ,София (столица),СОФИЯ 04 рн ОБОРИЩЕ,СОФИЯ 04 рн ОБОРИЩЕ,ул. Тракия 46,"Д-Р ВЕРГИЛ ЙОНЧЕВ ЧУКОВ, СТОЙЧО ТОДОРОВ КАЦАРОВ, Д-Р ДИМИТЪР ИВАНОВ ТОПЧИЙСКИ, Д-Р МАЯ ТОНОВА КАМЕНОВА",02/8462016,ул. Тракия 46,СОФИЯ 04 рн ОБОРИЩЕ,46,Тракия,"ул. Тракия 46, СОФИЯ 04 рн ОБОРИЩЕ, България",,,,,0
МЦ СВЕТА МАРИНА-ДИАГНОСТИКА И ТЕРАПИЯ ООД,Плевен,ПЛЕВЕН,Плевен,местност Русково бърдо,"Д-Р ЖИТИАН АЛЕКСАНДРОВ АТАНАСОВ, ПРОФ. Д-Р ГРИГОР АНГЕЛОВ ГОРЧЕВ","064/806838, 064/8181, 064/805666",местност Русково бърдо,Плевен,,местност Русково бърдо,"местност Русково бърдо, Плевен, България",,,,,0
МЦ Света Ана ООД,Враца,ВРАЦА,Враца,бул. Демокрация 17 и 23,Д-Р АДРИЯН ИВАНОВ НИКОЛОВ,092/663060,бул. Демокрация 17 и 23,Враца,23,Демокрация,"бул. Демокрация 17 и 23, Враца, България",,,,,0
МЦ Света Елисавета -Раковски ЕООД,Пловдив,БРЕЗОВО,Брезово,ул. Георги Димитров 25,"Д-Р АНДРЕЙ ЙОЗОВ БАКЪРДЖИЙСКИ, ЕЛЕНА МИХАЙЛОВА ИВАНОВА, КИРИЛ ГЕНОВ КАРАГЕОРГИЕВ, ЕЛЕНА ПЕТРОВА КОЛАРОВА","03151/2429, 03151/2033",ул. Георги Димитров 25,Брезово,25,Георги Димитров,"ул. Георги Димитров 25, Брезово, България",,,,,0
