Наименование,Област,Община,Населено място,Адрес,Управител,Телефон
"СБАЛПФЗ - София област ЕООД",София (столица),ГР.СОФИЯ,ГР.СОФИЯ,бул. Сливница №309,"Д-Р КИРИЛ РАШКОВ ПАЛАВЕЕВ, Д-Р ВЕЛИЧКО ДИМИТРОВ МАРИНОВ","0899247939,029312353"
"СБПЛР-Костенец ЕООД",София - област,КОСТЕНЕЦ,ГР.КОСТЕНЕЦ,ул. Цариградско шосе №56,Д-Р МАРИЯ АНГЕЛОВА ХРИСТОСКОВА-ЯНКОВА,0889306197
"СБПФЗПЛР-Цар Фердинанд І ЕООД",София - област,СВОГЕ,С.ИСКРЕЦ,кв. Санаториума,"Д-Р МАРИЯНА ХРИСТОВА ДЕНЕВА, ЛЮДМИЛА ЙОВЧЕВА ТОДОРОВА","071632001,071632002,0889151884"
"СБР-НК ЕАД филиал Момин проход",София - област,КОСТЕНЕЦ,ГР.МОМИН ПРОХОД,ул. Христо Ботев №6,"Д-Р ПЛАМЕН ПЕТРОВ СТОЕВ, ЕВГЕНИ ГЕОРГИЕВ ЛЮБЕНОВ, НОНКА ДОБРИНОВА ОБРЕШКОВА, СПАСКА СТОЯНОВА БАХЧЕВАНОВА, АНИ БЛАГОЕВА ЗДРАВКОВА","0879220029,0878217400"
"СБР-Тузлата ЕООД",Добрич,БАЛЧИК,ГР.БАЛЧИК,местност Тузлата,"МАРИЯ ВАСИЛЕВА СТАЙКОВА, КАМЕЛИЯ КИРЧЕВА СТАНЕВА","0579/72480,0882/528595"
"СОБАЛ Д-Р ТАСКОВ ООД",Търговище,ТЪРГОВИЩЕ,ГР.ТЪРГОВИЩЕ,ул. Александър Стамболийски №25,ДИМИТЪР ГЕОРГИЕВ ТАСКОВ,0601/63404
"СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ НА ПНЕВМО-ФТИЗИАТРИЧНИ ЗАБОЛЯВАНИЯ ХАСКОВО ЕООД",Хасково,ХАСКОВО,ГР.ХАСКОВО,кв. Болярово ул. Перущица №2,"ВЕСЕЛИН ТОДОРОВ КАЛФОВ, Д-Р ИРИНА ЗАПРЯНОВА КАРАМАНОВА",038668053
"СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ НА ПНЕВМО-ФТИЗИАТРИЧНИ ЗАБОЛЯВАНИЯ- БУРГАС ЕООД",Бургас,БУРГАС,ГР.БУРГАС,ул. Генерал Гурко №64,Д-Р ЕВЕЛИНА ДИМИТРОВА ТРОШАНОВА-ГРОШЕВА,"056/896241,0888/735849,056/896222,0878/877022"
"СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ПО ВЪТРЕШНИ БОЛЕСТИ - ТОПОЛОВГРАД ЕООД",Хасково,ТОПОЛОВГРАД,ГР.ТОПОЛОВГРАД,ул. Мусала №1,"Д-Р ЕМИЛ ДЕЛЧЕВ ЕВТИМОВ, ДИМИТЪР АНГЕЛОВ ЕРМОВ","0470/52183,0470/53372"
"СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ПО ОНКОЛОГИЯ - ХАСКОВО ЕООД",Хасково,ХАСКОВО,ГР.ХАСКОВО,бул. Съединение №49,"МАТЕЙ АСЕНОВ МАТЕЕВ, Д-Р ВЕНКО ИВАНОВ БАЛАБАНОВ, Д-Р ЛЮБОМИР ВЪЛКОВ ВАСИЛЕВ, ИВАН ТОДОРОВ ИВАНОВ",038664373
"СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА ПРОДЪЛЖИТЕЛНО ЛЕЧЕНИЕ И РЕХАБИЛИТАЦИЯ - ЛЮБИМЕЦ ЕООД",Хасково,ЛЮБИМЕЦ,ГР.ЛЮБИМЕЦ,ул. Републиканска 38,ИВАН РАДКОВ ИЛИЕВ,"037517296,037517151"
"СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА РЕХАБИЛИТАЦИЯ НЕСЕБЪР АД",Бургас,НЕСЕБЪР,ГР.НЕСЕБЪР,ул. Хан Крум №31,"Д-Р ПЛАМЕН МИХАЙЛОВ ЛАКОВ, Д-Р ЦВЕТАН ДИМИТРОВ ГЕРГОВ, ГЕОРГИ КОЛЕВ КОЛЕВ, Д-Р ГАЛИНА ТРУФАНОВА КЪРЧЕВА, НИКОЛАЙ ГЕОРГИЕВ КОЛЕВ","0876/022232,0554/30123"
"СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА РЕХАБИЛИТАЦИЯ НЕСЕБЪР АД",Бургас,НЕСЕБЪР,ГР.НЕСЕБЪР,кв. Перла №20,"Д-Р ПЛАМЕН МИХАЙЛОВ ЛАКОВ, Д-Р ЦВЕТАН ДИМИТРОВ ГЕРГОВ, ГЕОРГИ КОЛЕВ КОЛЕВ, Д-Р ГАЛИНА ТРУФАНOVA КЪРЧЕВА, НИКОЛАЙ ГЕОРГИЕВ КОЛЕВ","0876/022232,0554/30123"
"СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА РЕХАБИЛИТАЦИЯ НЕСЕБЪР АД",Бургас,НЕСЕБЪР,ГР.НЕСЕБЪР,ул. Иван Вазов №11 Здравна къща Несебър,"Д-Р ПЛАМЕН МИХАЙЛОВ ЛАКОВ, Д-Р ЦВЕТАН ДИМИТРОВ ГЕРГОВ, ГЕОРГИ КОЛЕВ КОЛЕВ, Д-Р ГАЛИНА ТРУФАНОВА КЪРЧЕВА, НИКОЛАЙ ГЕОРГИЕВ КОЛЕВ","0876/022232,0554/30123"
"СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА РЕХАБИЛИТАЦИЯ - НАЦИОНАЛЕН КОМПЛЕКС ЕАД СОФИЯ ФИЛИАЛ ПОМОРИЕ",Бургас,ПОМОРИЕ,ГР.ПОМОРИЕ,ул. Проф. Парашкев Стоянов №7,"Д-Р МАРГАРИТА ИВАНОВА МИХАЙЛОВА, АНТОАНЕТА СТЕФАНОВА ГРОЗЕВА, СТЕФКО НИКОЛОВ ГЕОРГИЕВ, ПЛУМЕЛИНА ДИМИТРОВА МИЧЕВА, ГЕОРГИ АНДРЕЕВ ПРОДРОМОВ",
"СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА РЕХАБИЛИТАЦИЯ МАРИ ООД",Бургас,НЕСЕБЪР,ГР.НЕСЕБЪР,местност Кокалу ул. Кипарис №8,"Д-Р АНТОАНЕТА ЙОРДАНОВА ГЬОНКОВА, Д-Р МАРГАРИТА ЖИКОВА ГРОЗДИНСКА, СТЕФКО НИКОЛОВ ГЕОРГИЕВ","0888/684045,0885/156334,0554/70473"
"СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА РЕХАБИЛИТАЦИЯ СТАЙКОВ И ФАМИЛИЯ ЕООД",Бургас,НЕСЕБЪР,ГР.НЕСЕБЪР,к.к. Слънчев бряг хотел Средец,"ИВАН ЙОРДАНОВ СТАЙКОВ, ЙОРДАН ИВАНОВ СТАЙКОВ, Д-Р ВЕРГИНИЯ ДАНЧОВА ЦАНОВА-ИВАНОВА",0892/010303
"СПЕЦИАЛИЗИРАНА БОЛНИЦА ЗА РЕХАБИЛИТАЦИЯ АЙЛИН ЕООД",Хасково,МИНЕРАЛНИ БАНИ,С.МИНЕРАЛНИ БАНИ,ул. Любен Каравелов №8,АНЕЛИЯ ТОДОРОВА ТЕНЧЕВА,037389129
"СПЕЦИАЛИЗИРАНА ОЧНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - БУРГАС ООД",Бургас,БУРГАС,ГР.БУРГАС,ж.к. П. Р. Славейков ул. Георги Минков №174 до спортна зала Младост,"ПЕТКО МЕТОДИЕВ ИВАНОВ, Д-Р НИКОЛАЙ ПЕТКОВ ИВАНОВ","0896/777165,056/859840,0896/660772"
"Специализирана болница за рехабилитация - Вита ЕООД клон Поморие",Бургас,ПОМОРИЕ,ГР.ПОМОРИЕ,ул. Проф. П. Стоянов №12,Д-Р АНГЕЛ ХАРАЛАМБИЕВ ПЕЕВ,"0889693535,0887344625,0888238988,0879/402937,0878/542292,0882/603915,0596/22055,0887670008"
"УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ СВЕТА МАРИНА-ПЛЕВЕН ООД",Плевен,ПЛЕВЕН,ГР.ПЛЕВЕН,ул. Гео Милев №14,"ИВАЛЕНА МИНКОВА ВАСИЛЕВА, ПРОФ.Д-Р ГРИГОР АНГЕЛОВ ГОРЧЕВ","064/805313,064/805666"
"УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ СВЕТА МАРИНА-ПЛЕВЕН ООД",Плевен,ПЛЕВЕН,ГР.ПЛЕВЕН,ул. Цар Симеон 23,"ИВАЛЕНА МИНКОВА ВАСИЛЕВА, ПРОФ.Д-Р ГРИГОР АНГЕЛОВ ГОРЧЕВ","064/805313,064/805666"
"УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ СВЕТА МАРИНА-ПЛЕВЕН ООД",Плевен,ПЛЕВЕН,ГР.ПЛЕВЕН,ж.к Дружба ул. Трите бора №24,"ИВАЛЕНА МИНКОВА ВАСИЛЕВА, ПРОФ.Д-Р ГРИГОР АНГЕЛОВ ГОРЧЕВ","064/805313,064/805666"
"УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ СВЕТА МАРИНА-ПЛЕВЕН ООД",Плевен,ПЛЕВЕН,ГР.ПЛЕВЕН,Местност Русково бърдо,"ИВАЛЕНА МИНКОВА ВАСИЛЕВА, ПРОФ.Д-Р ГРИГОР АНГЕЛОВ ГОРЧЕВ","064/805313,064/805666"
"УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ БУРГАС АД",Бургас,БУРГАС,ГР.БУРГАС,ул. Стефан Стамболов №73,"БОЙКО ГЕОРГИЕВ МИРАЗЧИЙСКИ, МИРОСЛАВ ОБРЕЙКОВ ОБРЕЙКОВ, Д-Р СВЕТЛОЗАР БОРИСОВ ГЕОРГИЕВ, БОЯН СЛАВЧЕВ БУДАКОВ, Д-Р СТЕФАН ИВАНОВ СТАНЧЕВ, ГЕОРГИ ЕНЧЕВ МАТЕВ, ПРОФ. Д-Р ВЛАДИМИР ХРИСТОВ ГОНЧЕВ","056/894700,056/810583"
"УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ДЕВА МАРИЯ ЕООД",Бургас,БУРГАС,ГР.БУРГАС,ул. Александър Стамболийски №32 корпус 1 и 2,"Д-Р ХРИСТО КРЪСТЕВ ЯКИМОВ, ДАНИЕЛА ПРОДАНОВА БОЗДУКОВА, ДИМИТЪР ЕСЕНОВ ИЛИЕВ, СТЕФАН ИВАНОВ КАСАБОВ, ГЕОРГИ МАРИНОВ ГЕОРГИЕВ, Д-Р СНЕЖА ЗГУРОВА СТРАНДЖЕВА, ХРИСТО ДОБРЕВ ДОБРЕВ","056/896273,056/896262,0884/257744"
"УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ДЕВА МАРИЯ ЕООД",Бургас,БУРГАС,ГР.БУРГАС,ул. Ванче Михайлов 1,"Д-Р ХРИСТО КРЪСТЕВ ЯКИМОВ, ДАНИЕЛА ПРОДАНOVA БОЗДУКОВА, ДИМИТЪР ЕСЕНОВ ИЛИЕВ, СТЕФАН ИВАНОВ КАСАБОВ, ГЕОРГИ МАРИНОВ ГЕОРГИЕВ, Д-Р СНЕЖА ЗГУРОВА СТРАНДЖЕВА, ХРИСТО ДОБРЕВ ДОБРЕВ","056/896273,056/896262,0884/257744"
"ЦЕНТЪР ЗА КОЖНО-ВЕНЕРИЧЕСКИ ЗАБОЛЯВАНИЯ-ВЕЛИКО ТЪРНОВО ЕООД",Велико Търново,ВЕЛИКО ТЪРНОВО,ГР.ВЕЛИКО ТЪРНОВО,ул. Бузлуджа №1,"ТЕОДОРА ЦЕКОВА ЧОЛАКОВА, РУМЯНА СТОЯНОВА АНДРЕЕВА, СИЛВИЯ ДИМОВА ГОРАНОВА","062/623598,062/622110"
"МБАЛ Уро Медикс ЕООД",Пловдив,ПЛОВДИВ,ГР.ПЛОВДИВ,ул. Колхида продължение МТБ Пловдив Стационар ет. 2 и ет. 3,Д-Р ЖАН РАДОЕВ ЧИТАЛОВ,"032673499,032280268"
"SBR_NK_VN",Пазарджик,ВЕЛИНГРАД,ГР.ВЕЛИНГРАД,ул. Гоце Делчев №38,ИЛЗА ВЪЛЧЕВА ПОПОВА,0359/55491
"І САГБАЛ СВ. СОФИЯ ЕАД СОФИЯ",София (столица),СОФИЯ 11 рн КРАСНА ПОЛЯНА,СОФИЯ 11 рн КРАСНА ПОЛЯНА,ул. М. Ташев №2,"КОНСТАНТИН ИВАНОВ МАЛЕНОВ, Д-Р МЕТОДИ ВАНГЕЛОВ ЯНКОВ, Д-Р ЕЛИАН ПЕТРОВ РАЧЕВ, Д-Р ИВАН АТАНАСОВ КОСТОВ, Д-Р ГЕРГАНА КИРИЛОВА КОЛАРОВА",02/8220583
"ІV МБАЛ - СОФИЯ ЕАД",София (столица),СОФИЯ 02 рн КРАСНО СЕЛО,СОФИЯ 02 рн КРАСНО СЕЛО,бул. Македония №38,"СТОЯН ЦВЕТАНОВ МАДЖАРОВ, Д-Р СТЕЛА ВАНЕВА СТАНЧЕВА-ЧЕРНЕВА, Д-Р АРКАДИ ГЕОРГИЕВ ИВАНОВ","02/9521474,02/8519211"
"ІІ МБАЛ - СОФИЯ ЕАД",София (столица),СОФИЯ 05 рн СЕРДИКА,СОФИЯ 05 рн СЕРДИКА,бул. Христо Ботев №120,"КРАСИМИР СТОЯНОВ ПАНДЕВ, Д-Р ГЛИНКА ДИМОВ КОМИТОВ, ДОЦ. Д-Р СТЕФАН НИКОЛАЕВ УЗУНОВ","9158544,02/9158340"
"АДЖИБАДЕМ СИТИ КЛИНИК УМБАЛ ЕООД",София (столица),СОФИЯ 09 рн ЛОЗЕНЕЦ,СОФИЯ 09 рн ЛОЗЕНЕЦ,ул. Околовръстен път №127,"ИЛИАН ГЕОРГИЕВ ГРИГОРОВ, МЕЛИХ КАРАХАСАНОГЛУ, ВЕНЕЛИНА ФИЛИПОВА АТАНАСОВА, АНДРЕЙ ПЪРВАНОВ МАРКОВ, Д-Р САШКА ЛАЗАРОВА РУСКОВА, АТАНАС ИВАНОВ ТУМАНОВ, АЛЕКСАНДЪР ВАЛЕНТИНОВ ИЛИЕВ","02/9604949,02/9604919"
"АДЖИБАДЕМ СИТИ КЛИНИК УМБАЛ ЕООД",София (столица),СОФИЯ 15 рн МЛАДОСТ,СОФИЯ 15 рн МЛАДОСТ,бул. Цариградско шосе №66А,"ИЛИАН ГЕОРГИЕВ ГРИГОРОВ, МЕЛИХ КАРАХАСАНОГЛУ, ВЕНЕЛИНА ФИЛИПОВА АТАНАСОВА, АНДРЕЙ ПЪРВАНОВ МАРКОВ, Д-Р САШКА ЛАЗАРОВА РУСКОВА, АТАНАС ИВАНОВ ТУМАНОВ, АЛЕКСАНДЪР ВАЛЕНТИНОВ ИЛИЕВ","02/9604949,02/9604919"
"АДЖИБАДЕМ СИТИ КЛИНИК УМБАЛ ЕООД",София (столица),СОФИЯ 17 рн ВИТОША,ГР.СОФИЯ КВ.ДРАГАЛЕВЦИ,ул. Константин Помянов-1,"ИЛИАН ГЕОРГИЕВ ГРИГОРОВ, МЕЛИХ КАРАХАСАНОГЛУ, ВЕНЕЛИНА ФИЛИПОВА АТАНАСОВА, АНДРЕЙ ПЪРВАНОВ МАРКОВ, Д-Р САШКА ЛАЗАРОВА РУСКОВА, АТАНАС ИВАНОВ ТУМАНОВ, АЛЕКСАНДЪР ВАЛЕНТИНОВ ИЛИЕВ","02/9604949,02/9604919"
"АДЖИБАДЕМ СИТИ КЛИНИК УМБАЛ ТОКУДА СОФИЯ ЕАД",София (столица),СОФИЯ 09 рн ЛОЗЕНЕЦ,СОФИЯ 09 рн ЛОЗЕНЕЦ,бул. Н. Й. Вапцаров №51Б,"РОСЕН ЕМИЛ ПАНОВ, ЯВОР НИКОЛАЕВ ДРЕНСКИ, ИЛИАН ГЕОРГИЕВ ГРИГОРОВ, Д-Р ВЕНЕЛИНА ФИЛИПОВА АТАНАСОВА","02/4034359,02/4034225"
"АИСМП МЦ ПОЛИМЕД АД",София (столица),СОФИЯ 03 рн ВЪЗРАЖДАНЕ,СОФИЯ 03 рн ВЪЗРАЖДАНЕ,ул. Брегалница №47,ЦВЕТАН ДИМОВ ДИМАНОВ,8157931
"АИСМП-МЦ за очно здраве ВИСТА ООД",Пловдив,ПЛОВДИВ,ГР.ПЛОВДИВ,ул. Александър Стамболийски №31,Д-Р АНТОН ТЕНЕВ АНГЕЛОВ,0889/453545
"АМЦСМП ОМЦ Свети Николай Чудотворец ООД",Варна,ВАРНА,ГР.ВАРНА,ул. Ген. Стефан Тошев №36А,Д-Р ПЛАМЕН СТЕФАНОВ ХУБАНОВ,052630670
"АМЦСМП ОМЦ Свети Николай Чудотворец ООД",Добрич,ДОБРИЧ-ГРАД,ГР.ДОБРИЧ,ул. Хан Кардам №2,Д-Р ПЛАМЕН СТЕФАНОВ ХУБАНОВ,052630670
"АМЦСМП Очна клиника Света Петка АД",Варна,ВАРНА,ГР.ВАРНА,ул. Проф. д-р Георги Георгиев №4,Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131"
"АМЦСМП Очна клиника Света Петка АД",Варна,ВАРНА,ГР.ВАРНА,ул. Иван Драсов №12,Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131"
"АМЦСМП Очна клиника Света Петка АД",Шумен,ШУМЕН,ГР.ШУМЕН,ул. Цар Иван Александър 110А,Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131"
"АМЦСМП Очна клиника д р Хубанов ЕООД",Бургас,БУРГАС,ГР.БУРГАС,бул. Даме Груев №2,Д-Р ПЛАМЕН СТЕФАНОВ ХУБАНОВ,"056/711112,0889/787112"
"АМЦСМП СВЕТА ПЕТКА ООД",Варна,ВАРНА,ГР.ВАРНА,ул. Иван Драсов №12,ДОЦ. Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131"
"АМЦСМП СВЕТА ПЕТКА ООД",Варна,ВАРНА,ГР.ВАРНА,ул. Проф. д-р Георги Георгиев №4,ДОЦ. Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131"
"АМЦСМП СВЕТА ПЕТКА ООД",Варна,ВАРНА,ГР.ВАРНА,бул. Сливница №40,ДОЦ. Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131"
"АМЦСМП Света Петка Ай Кеър ЕООД",Варна,ВАРНА,ГР.ВАРНА,ул. Иван Драсов №10А,ДОЦ. Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131"
"АМЦСМП Света Петка Ай Кеър ЕООД",Варна,ВАРНА,ГР.ВАРНА,ул. Иван Драсов №12,ДОЦ. Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131"
"АМЦСМП Света Петка Ай Кеър ЕООД",Варна,ВАРНА,ГР.ВАРНА,ул. Проф. д-р Георги Георгиев №4,ДОЦ. Д-Р ТОШО ВОЙЧЕВ МИТОВ,"052611130,052611131"
"АСИП-МЦ-ЕВРОХОСПИТАЛ ПЛОВДИВ ЕООД",Пловдив,ПЛОВДИВ,ГР.ПЛОВДИВ,ул. Коматевско шосе №79 партер ет. 1 и ет. 2,Д-Р ТАНКА ДЕЯНОВА ТУХЧИЕВА,"0889474781,032/6207015"
"АСИП-МЦ-ЕВРОХОСПИТАЛ ПЛОВДИВ ЕООД",Пловдив,ПЛОВДИВ,ГР.ПЛОВДИВ,ул. Колхида-продължение ет. 1 каб. №1 №2 и манипулационна,Д-Р ТАНКА ДЕЯНОВА ТУХЧИЕВА,"0889474781,032/6207015"
"АСМП-МЦ-ОКУЛУС-КУШИНОВА ЕООД",Плевен,ПЛЕВЕН,ГР.ПЛЕВЕН,ул. Васил Левски №124,"Д-Р ЙОРДАНКА ГЕОРГИЕВА МАТЕЕВА, Д-Р РУМЕН ДИМИТРОВ МИНКОВ","064/837711"
"АСМП-МЦ-ОКУЛУС-КУШИНОВА ЕООД",Плевен,ПЛЕВЕН,ГР.ПЛЕВЕН,ул. П. Евтимий №5,"Д-Р ЙОРДАНКА ГЕОРГИЕВА МАТЕЕВА, Д-Р РУМЕН ДИМИТРОВ МИНКОВ","064/837711"
"Аджибадем Сити Клиник МЦ Варна ЕООД",Варна,ВАРНА,ГР.ВАРНА,ул. Алеко Константинов №3-5,"Д-Р КАЛИН ЦОНЕВ ЦОНЕВ, ВЕНЕЛИНА ФИЛИПОВА АТАНАСОВА, МЕХМЕТ ОРКУН САРЪБЪЙЪК","070033900,052953251,0892202080"
"Аджибадем Сити Клиник МЦ Варна ЕООД",Варна,ВАРНА,ГР.ВАРНА,ул. Брегалница №1,"Д-Р КАЛИН ЦОНЕВ ЦОНЕВ, ВЕНЕЛИНА ФИЛИПОВА АТАНАСОВА, МЕХМЕТ ОРКУН САРЪБЪЙЪК","070033900,052953251,0892202080"
"БПЛР - филиал гр. Варна при МИ НА МВР",Варна,ВАРНА,ГР.ВАРНА,к.к. Свети Константин и Елена,"ПРОФ. Д-Р НЕНЧО ПЕТРОВ СМИЛОВ, ПРОФ. Д-Р ИЛИЯ АТАНАСОВ БАТАШКИ","052664810,0887232371,052/652496,052/501979"
"БПЛР ВМА-БАНКЯ СОФИЯ",София (столица),СОФИЯ 24 рн БАНКЯ,СОФИЯ 24 рн БАНКЯ,ул. Иван Вазов №5,"Д-Р ГЕОРГИ ДАВИДОВ ДАВИДОВ, Д-Р ИВАН ЛАЛЕВ ДЯНКОВ","02/9977194,02/9777149"
"БПЛР МИ МВР – ФИЛИАЛ БАНКЯ СОФИЯ",София (столица),СОФИЯ 24 рн БАНКЯ,СОФИЯ 24 рн БАНКЯ,ул. Хисар №2,"ПРОФ. Д-Р ДАНИЕЛА ВАЛЕНТИНОВА МОНОВА, ДОЦ. Д-Р ИЛИЯ АТАНАСОВ БАТАШКИ",02/9821506
"БПЛР МИ-МВР филиал Хисар",Пловдив,ХИСАРЯ,ГР.ХИСАРЯ,Бул. Иван Вазов №2,"ПРОФ. Д-Р НЕНЧО ПЕТРОВ СМИЛОВ, Д-Р ТОДОР ВАСИЛЕВ ТОДОРОВ, ИЛИЯ АТАНАСОВ БАТАШКИ","0337/62146,0337/62051"
"ВМА- Болница за продължително лечение и рехабилитация- Хисаря",Пловдив,ХИСАРЯ,ГР.ХИСАРЯ,ул. Илин Паунов №1,"Д-Р АЛЕКСАНДЪР ТОНЕВ АЛЕКСАНДРОВ, Д-Р БОЖКО ИВАНОВ БОЖКОВ","0337/60201,0337/62089"
"ВМА-МБАЛ-ПЛЕВЕН",Плевен,ПЛЕВЕН,ГР.ПЛЕВЕН,ул. Г. Кочев 6,"Д-Р РОСЕН ИВАНОВ АНТИНОВ, ДИМИТЪР СТОЙЧЕВ РАДАНОВ, БОЯН МИЛЧЕВ КУЧЕВ, Д-Р НИКОЛАЙ ВЪЛОВ ТРИФОНОВ","064822875,064/890604,0888/155507,064890608"
"ВОЕННОМЕДИЦИНСКА АКАДЕМИЯ",София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,ул. Св. Георги Софийски №3,"ГЕНЕРАЛ-МАЙОР ПРОФ. ВЕНЦИСЛАВ МЕТОДИЕВ МУТАФЧИЙСКИ, ГЕН.МАЙОР ПРОФ. СТОЯН ДИМИТРОВ ТОНЕВ, ПОЛК.ДОЦ. КРУМ СОТИРОВ КАЦАРОВ, ГЕНЕРАЛ МАЙОР ЧЛ. КОР. ПРОФ. НИКОЛАЙ ПЕТРОВ",9226000
"ВТОРА САГБАЛ ШЕЙНОВО ЕАД",София (столица),СОФИЯ 01 рн СРЕДЕЦ,СОФИЯ 01 рн СРЕДЕЦ,ул. Шейново №19,"Д-Р РУМЕН ЛЮБЕНОВ ВЕЛЕВ, ИВАН АТАНАСОВ КОСТОВ, Д-Р ТАНЯ ЛЮБОМИРОВА АНДРЕЕВА-РАЙНОВА","02/9659430,9441163"
"ДИАГНОСТИЧНО-КОНСУЛТАТИВЕН ЦЕНТЪР 1 ЯМБОЛ ЕООД",Ямбол,ЯМБОЛ,ГР.ЯМБОЛ,ул. Христо Смирненски №2,"АНТОН СТОЯНОВ ИВАНОВ, ВЕНЦИСЛАВ ИВАНОВ СЛАВОВ, ЕЛЕОНОРА МИТЕВА КОСТАДИНОВА","046600020,046669027,0893303480"
"ДИАГНОСТИЧНО-КОНСУЛТАТИВЕН ЦЕНТЪР 1 ЯМБОЛ ЕООД",Ямбол,ЯМБОЛ,ГР.ЯМБОЛ,ул. Ивайло №1,"АНТОН СТОЯНОВ ИВАНОВ, ВЕНЦИСЛАВ ИВАНОВ СЛАВОВ, ЕЛЕОНОРА МИТЕВА КОСТАДИНОВА","046600020,046669027,0893303480"
"ДИАГНОСТИЧНО-КОНСУЛТАТИВЕН ЦЕНТЪР 1 ЯМБОЛ ЕООД",Ямбол,ЯМБОЛ,ГР.ЯМБОЛ,ул. Българка 2,"АНТОН СТОЯНОВ ИВАНОВ, ВЕНЦИСЛАВ ИВАНОВ СЛАВОВ, ЕЛЕОНОРА МИТЕВА КОСТАДИНОВА","046600020,046669027,0893303480"
"ДИАЛИЗЕН ЦЕНТЪР ДИАЛИЗА ЕТРОПАЛ БЕТА ЕООД",Бургас,НЕСЕБЪР,ГР.НЕСЕБЪР,ул. Иван Вазов №11 Общинска здравна къща - Несебър,"Д-Р ЗЛАТИНА ГЕОРГИЕВА МИРИНЧЕВА, Д-Р ХРИСТО ДИМИТРОВ ХРИСТОВ, ТЕМЕНУГА СТОЯНОВА ТИХОЛОВА, АЛБЕНА ТОТЕВА СТОЯНОВА","0554/44230,0899/992802"
"ДИАЛИЗЕН ЦЕНТЪР ОМЕГА ЕООД",Видин,ВИДИН,ГР.ВИДИН,ул. Найчо Цанов №12,Д-Р ВАЛЕРИ ХРИСТОВ ХРИСТОВ,0888765454
"ДИАЛИЗЕН ЦЕНТЪР ВИРТУС МЕДИКАЛ ЕООД",Варна,ВАРНА,ГР.ВАРНА,ул. Херман Шкорпил №6,ПРОФ. Д-Р ВАЛЕНТИН ХРИСТОФОРОВ ИКОНОМОВ,052600002
"ДИАЛИЗЕН ЦЕНТЪР ХЕМОМЕД ЕООД СОФИЯ",София (столица),СОФИЯ 10 рн ТРИАДИЦА,СОФИЯ 10 рн ТРИАДИЦА,бул. България №104,Д-Р ПАВЛИНА СЛАВЧЕВА ПАУНОВА,0888806167
"ДКЦ ІІ-ПЛЕВЕН ЕООД",Плевен,ПЛЕВЕН,ГР.ПЛЕВЕН,ул. Сан Стефано №1,Д-Р МАРИАНА ПЕТРОВА ЛАЗАРОВА-ИВАНОВА,"064/807001,064888222"
"ДКЦ ІІ-ПЛЕВЕН ЕООД",Плевен,ПЛЕВЕН,ГР.ПЛЕВЕН,ж.к. Дружба бл 112 вх.В ет 1,Д-Р МАРИАНА ПЕТРОВА ЛАЗАРОВА-ИВАНОВА,"064/807001,064888222"
